"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
3,"Default",0,"AgStkInitObj.cpp",2226,01/27/2026 13:42:58,"LAPTOP-7G9OBF8V","yyj","STK Radar Advanced Environment license is present, but a valid install was not found."
3,"MsgWnd",0,"",0,01/27/2026 13:43:24,"LAPTOP-7G9OBF8V","yyj","No valid 64 bit Matlab automation server is available.  Please run matlab /regserver as administrator or see Mathworks online help."
2,"Default",0,"AgApRmtMsg.cpp",1332,01/27/2026 13:43:25,"LAPTOP-7G9OBF8V","yyj","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1512,01/27/2026 13:43:25,"LAPTOP-7G9OBF8V","yyj","STK/CON: Accepting connection requests"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,01/27/2026 13:43:28,"LAPTOP-7G9OBF8V","yyj","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""E:\STK12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,01/27/2026 13:43:28,"LAPTOP-7G9OBF8V","yyj","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",1004,01/27/2026 13:43:30,"LAPTOP-7G9OBF8V","yyj","STK TIREM license present; but a valid TIREM install was not found. Install STK/TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",923,01/27/2026 13:43:30,"LAPTOP-7G9OBF8V","yyj","STK Communications License for Urban Propagation Extension present; but a valid install was not found.  Install Urban Propagation Extension."
3,"MsgWnd",-1,"AgUtModLicCPP.cpp",186,01/27/2026 13:43:31,"LAPTOP-7G9OBF8V","yyj","Connectivity issues exist with Microsoft Bing™ Maps. Bing Maps have been disabled."
4,"Default",0,"AgMCSFollow.cpp",735,01/27/2026 13:43:39,"LAPTOP-7G9OBF8V","yyj","Leader ran out of ephemeris before separation conditions met in segment Follow.  Stopping MCS."
