 本行信息时间(北京时间)     位置X(km,J2000)     位置Y(km,J2000)     位置Z(km,J2000)  速度VX(km/s,J2000)  速度VY(km/s,J2000)  速度VZ(km/s,J2000)    定轨或预报
2023-04-22B18:28: 0.000        15900.350914       268337.065126       145671.925346        -0.185321380         0.665719490         0.345920955        1
2023-04-22B18:28:30.000        15894.791240       268357.035026       145682.302055        -0.185323590         0.665607221         0.345859624        1
2023-04-22B18:29: 0.000        15889.231499       268377.001559       145692.676924        -0.185325795         0.665494968         0.345798303        1
2023-04-22B18:29:30.000        15883.671692       268396.964724       145703.049953        -0.185327996         0.665382730         0.345736990        1
2023-04-22B18:30: 0.000        15878.111819       268416.924523       145713.421143        -0.185330191         0.665270510         0.345675686        1
2023-04-22B18:30:30.000        15872.551881       268436.880955       145723.790494        -0.185332382         0.665158305         0.345614392        1
2023-04-22B18:31: 0.000        15866.991876       268456.834022       145734.158007        -0.185334568         0.665046116         0.345553106        1
2023-04-22B18:31:30.000        15861.431806       268476.783722       145744.523681        -0.185336748         0.664933944         0.345491828        1
2023-04-22B18:32: 0.000        15855.871671       268496.730058       145754.887516        -0.185338924         0.664821787         0.345430560        1
2023-04-22B18:32:30.000        15850.311471       268516.673030       145765.249514        -0.185341095         0.664709647         0.345369301        1
2023-04-22B18:33: 0.000        15844.751206       268536.612637       145775.609675        -0.185343261         0.664597523         0.345308050        1
2023-04-22B18:33:30.000        15839.190875       268556.548881       145785.967997        -0.185345423         0.664485415         0.345246808        1
2023-04-22B18:34: 0.000        15833.630480       268576.481762       145796.324483        -0.185347579         0.664373323         0.345185576        1
2023-04-22B18:34:30.000        15828.070021       268596.411281       145806.679132        -0.185349730         0.664261247         0.345124351        1
2023-04-22B18:35: 0.000        15822.509497       268616.337437       145817.031944        -0.185351877         0.664149188         0.345063136        1
2023-04-22B18:35:30.000        15816.948908       268636.260232       145827.382920        -0.185354019         0.664037144         0.345001930        1
2023-04-22B18:36: 0.000        15811.388256       268656.179666       145837.732060        -0.185356155         0.663925117         0.344940732        1
2023-04-22B18:36:30.000        15805.827539       268676.095739       145848.079364        -0.185358287         0.663813105         0.344879544        1
2023-04-22B18:37: 0.000        15800.266758       268696.008453       145858.424833        -0.185360414         0.663701110         0.344818364        1
2023-04-22B18:37:30.000        15794.705914       268715.917806       145868.768466        -0.185362537         0.663589131         0.344757193        1
2023-04-22B18:38: 0.000        15789.145006       268735.823801       145879.110265        -0.185364654         0.663477167         0.344696030        1
2023-04-22B18:38:30.000        15783.584035       268755.726436       145889.450228        -0.185366766         0.663365220         0.344634877        1
2023-04-22B18:39: 0.000        15778.023000       268775.625714       145899.788357        -0.185368874         0.663253289         0.344573732        1
2023-04-22B18:39:30.000        15772.461903       268795.521634       145910.124652        -0.185370976         0.663141374         0.344512596        1
2023-04-22B18:40: 0.000        15766.900742       268815.414197       145920.459113        -0.185373074         0.663029475         0.344451469        1
2023-04-22B18:40:30.000        15761.339518       268835.303403       145930.791740        -0.185375167         0.662917592         0.344390351        1
2023-04-22B18:41: 0.000        15755.778232       268855.189252       145941.122534        -0.185377255         0.662805725         0.344329242        1
2023-04-22B18:41:30.000        15750.216883       268875.071746       145951.451495        -0.185379338         0.662693874         0.344268141        1
2023-04-22B18:42: 0.000        15744.655472       268894.950885       145961.778623        -0.185381417         0.662582039         0.344207049        1
2023-04-22B18:42:30.000        15739.093998       268914.826669       145972.103918        -0.185383490         0.662470220         0.344145966        1
2023-04-22B18:43: 0.000        15733.532462       268934.699098       145982.427381        -0.185385559         0.662358418         0.344084892        1
2023-04-22B18:43:30.000        15727.970864       268954.568174       145992.749012        -0.185387622         0.662246631         0.344023826        1
2023-04-22B18:44: 0.000        15722.409205       268974.433896       146003.068811        -0.185389681         0.662134860         0.343962769        1
2023-04-22B18:44:30.000        15716.847484       268994.296266       146013.386778        -0.185391735         0.662023105         0.343901721        1
2023-04-22B18:45: 0.000        15711.285701       269014.155283       146023.702914        -0.185393784         0.661911366         0.343840682        1
2023-04-22B18:45:30.000        15705.723857       269034.010948       146034.017219        -0.185395829         0.661799643         0.343779652        1
2023-04-22B18:46: 0.000        15700.161951       269053.863262       146044.329693        -0.185397868         0.661687936         0.343718630        1
2023-04-22B18:46:30.000        15694.599985       269073.712224       146054.640337        -0.185399903         0.661576245         0.343657617        1
2023-04-22B18:47: 0.000        15689.037957       269093.557836       146064.949150        -0.185401932         0.661464570         0.343596613        1
2023-04-22B18:47:30.000        15683.475869       269113.400099       146075.256134        -0.185403957         0.661352911         0.343535618        1
2023-04-22B18:48: 0.000        15677.913720       269133.239011       146085.561287        -0.185405977         0.661241267         0.343474631        1
2023-04-22B18:48:30.000        15672.351510       269153.074575       146095.864612        -0.185407992         0.661129640         0.343413653        1
2023-04-22B18:49: 0.000        15666.789240       269172.906790       146106.166107        -0.185410003         0.661018029         0.343352684        1
2023-04-22B18:49:30.000        15661.226910       269192.735657       146116.465773        -0.185412008         0.660906434         0.343291723        1
2023-04-22B18:50: 0.000        15655.664520       269212.561176       146126.763610        -0.185414009         0.660794854         0.343230772        1
2023-04-22B18:50:30.000        15650.102070       269232.383348       146137.059619        -0.185416004         0.660683290         0.343169829        1
2023-04-22B18:51: 0.000        15644.539560       269252.202173       146147.353800        -0.185417995         0.660571743         0.343108895        1
2023-04-22B18:51:30.000        15638.976990       269272.017653       146157.646153        -0.185419981         0.660460211         0.343047969        1
2023-04-22B18:52: 0.000        15633.414361       269291.829786       146167.936678        -0.185421962         0.660348695         0.342987052        1
2023-04-22B18:52:30.000        15627.851672       269311.638575       146178.225376        -0.185423939         0.660237195         0.342926144        1
2023-04-22B18:53: 0.000        15622.288924       269331.444018       146188.512247        -0.185425910         0.660125711         0.342865245        1
2023-04-22B18:53:30.000        15616.726118       269351.246117       146198.797291        -0.185427877         0.660014243         0.342804354        1
2023-04-22B18:54: 0.000        15611.163252       269371.044873       146209.080508        -0.185429839         0.659902791         0.342743472        1
2023-04-22B18:54:30.000        15605.600327       269390.840285       146219.361899        -0.185431796         0.659791354         0.342682599        1
2023-04-22B18:55: 0.000        15600.037344       269410.632354       146229.641464        -0.185433748         0.659679934         0.342621735        1
2023-04-22B18:55:30.000        15594.474303       269430.421081       146239.919203        -0.185435695         0.659568529         0.342560879        1
2023-04-22B18:56: 0.000        15588.911203       269450.206466       146250.195117        -0.185437638         0.659457140         0.342500032        1
2023-04-22B18:56:30.000        15583.348044       269469.988510       146260.469205        -0.185439575         0.659345767         0.342439193        1
2023-04-22B18:57: 0.000        15577.784828       269489.767212       146270.741469        -0.185441508         0.659234410         0.342378363        1
2023-04-22B18:57:30.000        15572.221554       269509.542575       146281.011907        -0.185443436         0.659123068         0.342317542        1
2023-04-22B18:58: 0.000        15566.658222       269529.314597       146291.280521        -0.185445359         0.659011743         0.342256730        1
2023-04-22B18:58:30.000        15561.094832       269549.083279       146301.547311        -0.185447278         0.658900433         0.342195926        1
2023-04-22B18:59: 0.000        15555.531385       269568.848623       146311.812277        -0.185449191         0.658789139         0.342135131        1
2023-04-22B18:59:30.000        15549.967881       269588.610628       146322.075419        -0.185451100         0.658677861         0.342074345        1
2023-04-22B19:00: 0.000        15544.404319       269608.369295       146332.336738        -0.185453004         0.658566599         0.342013567        1
2023-04-22B19:00:30.000        15538.840701       269628.124624       146342.596233        -0.185454903         0.658455352         0.341952798        1
2023-04-22B19:01: 0.000        15533.277025       269647.876616       146352.853906        -0.185456797         0.658344122         0.341892038        1
2023-04-22B19:01:30.000        15527.713293       269667.625271       146363.109756        -0.185458686         0.658232907         0.341831286        1
2023-04-22B19:02: 0.000        15522.149504       269687.370591       146373.363783        -0.185460571         0.658121708         0.341770543        1
2023-04-22B19:02:30.000        15516.585659       269707.112574       146383.615988        -0.185462451         0.658010524         0.341709809        1
2023-04-22B19:03: 0.000        15511.021757       269726.851222       146393.866372        -0.185464326         0.657899357         0.341649083        1
2023-04-22B19:03:30.000        15505.457799       269746.586535       146404.114933        -0.185466196         0.657788205         0.341588366        1
2023-04-22B19:04: 0.000        15499.893785       269766.318515       146414.361674        -0.185468061         0.657677069         0.341527658        1
2023-04-22B19:04:30.000        15494.329716       269786.047160       146424.606593        -0.185469922         0.657565948         0.341466958        1
2023-04-22B19:05: 0.000        15488.765590       269805.772472       146434.849691        -0.185471777         0.657454844         0.341406267        1
2023-04-22B19:05:30.000        15483.201409       269825.494451       146445.090969        -0.185473628         0.657343755         0.341345584        1
2023-04-22B19:06: 0.000        15477.637172       269845.213097       146455.330426        -0.185475474         0.657232682         0.341284910        1
2023-04-22B19:06:30.000        15472.072881       269864.928412       146465.568064        -0.185477316         0.657121624         0.341224245        1
2023-04-22B19:07: 0.000        15466.508534       269884.640395       146475.803881        -0.185479152         0.657010583         0.341163588        1
2023-04-22B19:07:30.000        15460.944132       269904.349047       146486.037879        -0.185480984         0.656899557         0.341102940        1
2023-04-22B19:08: 0.000        15455.379675       269924.054368       146496.270058        -0.185482810         0.656788547         0.341042301        1
2023-04-22B19:08:30.000        15449.815163       269943.756360       146506.500417        -0.185484632         0.656677552         0.340981670        1
2023-04-22B19:09: 0.000        15444.250597       269963.455022       146516.728958        -0.185486450         0.656566573         0.340921048        1
2023-04-22B19:09:30.000        15438.685976       269983.150354       146526.955680        -0.185488262         0.656455610         0.340860435        1
2023-04-22B19:10: 0.000        15433.121301       270002.842358       146537.180584        -0.185490070         0.656344663         0.340799830        1
2023-04-22B19:10:30.000        15427.556572       270022.531034       146547.403670        -0.185491873         0.656233731         0.340739233        1
2023-04-22B19:11: 0.000        15421.991789       270042.216382       146557.624938        -0.185493671         0.656122815         0.340678646        1
2023-04-22B19:11:30.000        15416.426952       270061.898403       146567.844389        -0.185495464         0.656011914         0.340618066        1
2023-04-22B19:12: 0.000        15410.862061       270081.577097       146578.062022        -0.185497252         0.655901030         0.340557496        1
2023-04-22B19:12:30.000        15405.297117       270101.252465       146588.277839        -0.185499036         0.655790160         0.340496934        1
2023-04-22B19:13: 0.000        15399.732119       270120.924507       146598.491839        -0.185500815         0.655679307         0.340436380        1
2023-04-22B19:13:30.000        15394.167068       270140.593224       146608.704022        -0.185502589         0.655568469         0.340375836        1
2023-04-22B19:14: 0.000        15388.601964       270160.258615       146618.914389        -0.185504358         0.655457647         0.340315299        1
2023-04-22B19:14:30.000        15383.036806       270179.920683       146629.122940        -0.185506122         0.655346840         0.340254772        1
2023-04-22B19:15: 0.000        15377.471596       270199.579426       146639.329675        -0.185507882         0.655236050         0.340194253        1
2023-04-22B19:15:30.000        15371.906333       270219.234846       146649.534595        -0.185509637         0.655125274         0.340133742        1
2023-04-22B19:16: 0.000        15366.341018       270238.886943       146659.737700        -0.185511387         0.655014515         0.340073240        1
2023-04-22B19:16:30.000        15360.775650       270258.535717       146669.938990        -0.185513132         0.654903771         0.340012747        1
2023-04-22B19:17: 0.000        15355.210230       270278.181169       146680.138465        -0.185514873         0.654793042         0.339952262        1
2023-04-22B19:17:30.000        15349.644758       270297.823300       146690.336125        -0.185516609         0.654682329         0.339891786        1
2023-04-22B19:18: 0.000        15344.079234       270317.462109       146700.531972        -0.185518340         0.654571632         0.339831318        1
2023-04-22B19:18:30.000        15338.513658       270337.097598       146710.726005        -0.185520066         0.654460950         0.339770859        1
2023-04-22B19:19: 0.000        15332.948030       270356.729766       146720.918223        -0.185521787         0.654350284         0.339710408        1
2023-04-22B19:19:30.000        15327.382350       270376.358615       146731.108629        -0.185523504         0.654239634         0.339649966        1
2023-04-22B19:20: 0.000        15321.816620       270395.984144       146741.297222        -0.185525216         0.654128999         0.339589533        1
2023-04-22B19:20:30.000        15316.250838       270415.606355       146751.484001        -0.185526923         0.654018380         0.339529108        1
2023-04-22B19:21: 0.000        15310.685004       270435.225247       146761.668968        -0.185528625         0.653907776         0.339468691        1
2023-04-22B19:21:30.000        15305.119120       270454.840822       146771.852123        -0.185530322         0.653797187         0.339408283        1
2023-04-22B19:22: 0.000        15299.553185       270474.453079       146782.033465        -0.185532015         0.653686615         0.339347884        1
2023-04-22B19:22:30.000        15293.987199       270494.062019       146792.212996        -0.185533703         0.653576058         0.339287493        1
2023-04-22B19:23: 0.000        15288.421163       270513.667642       146802.390715        -0.185535386         0.653465516         0.339227110        1
2023-04-22B19:23:30.000        15282.855076       270533.269950       146812.566622        -0.185537065         0.653354990         0.339166737        1
2023-04-22B19:24: 0.000        15277.288939       270552.868942       146822.740719        -0.185538738         0.653244479         0.339106371        1
2023-04-22B19:24:30.000        15271.722752       270572.464619       146832.913005        -0.185540407         0.653133984         0.339046014        1
2023-04-22B19:25: 0.000        15266.156515       270592.056981       146843.083480        -0.185542071         0.653023505         0.338985666        1
2023-04-22B19:25:30.000        15260.590228       270611.646029       146853.252145        -0.185543731         0.652913041         0.338925326        1
2023-04-22B19:26: 0.000        15255.023891       270631.231764       146863.419000        -0.185545385         0.652802592         0.338864995        1
2023-04-22B19:26:30.000        15249.457505       270650.814185       146873.584045        -0.185547035         0.652692159         0.338804672        1
2023-04-22B19:27: 0.000        15243.891069       270670.393293       146883.747280        -0.185548680         0.652581742         0.338744358        1
2023-04-22B19:27:30.000        15238.324584       270689.969089       146893.908706        -0.185550321         0.652471340         0.338684052        1
2023-04-22B19:28: 0.000        15232.758050       270709.541574       146904.068323        -0.185551956         0.652360953         0.338623755        1
2023-04-22B19:28:30.000        15227.191466       270729.110747       146914.226132        -0.185553587         0.652250582         0.338563466        1
2023-04-22B19:29: 0.000        15221.624834       270748.676609       146924.382131        -0.185555213         0.652140227         0.338503186        1
2023-04-22B19:29:30.000        15216.058154       270768.239161       146934.536323        -0.185556834         0.652029886         0.338442914        1
2023-04-22B19:30: 0.000        15210.491424       270787.798402       146944.688706        -0.185558451         0.651919562         0.338382650        1
2023-04-22B19:30:30.000        15204.924647       270807.354334       146954.839282        -0.185560063         0.651809253         0.338322395        1
2023-04-22B19:31: 0.000        15199.357821       270826.906958       146964.988050        -0.185561670         0.651698959         0.338262149        1
2023-04-22B19:31:30.000        15193.790947       270846.456272       146975.135011        -0.185563272         0.651588680         0.338201911        1
2023-04-22B19:32: 0.000        15188.224024       270866.002279       146985.280165        -0.185564869         0.651478418         0.338141681        1
2023-04-22B19:32:30.000        15182.657054       270885.544977       146995.423512        -0.185566462         0.651368170         0.338081460        1
2023-04-22B19:33: 0.000        15177.090037       270905.084369       147005.565053        -0.185568050         0.651257938         0.338021248        1
2023-04-22B19:33:30.000        15171.522972       270924.620454       147015.704787        -0.185569633         0.651147721         0.337961043        1
2023-04-22B19:34: 0.000        15165.955859       270944.153232       147025.842715        -0.185571212         0.651037520         0.337900848        1
2023-04-22B19:34:30.000        15160.388699       270963.682705       147035.978838        -0.185572786         0.650927334         0.337840660        1
2023-04-22B19:35: 0.000        15154.821492       270983.208873       147046.113155        -0.185574355         0.650817164         0.337780482        1
2023-04-22B19:35:30.000        15149.254238       271002.731735       147056.245667        -0.185575919         0.650707009         0.337720311        1
2023-04-22B19:36: 0.000        15143.686937       271022.251293       147066.376374        -0.185577478         0.650596869         0.337660149        1
2023-04-22B19:36:30.000        15138.119589       271041.767547       147076.505276        -0.185579033         0.650486745         0.337599996        1
2023-04-22B19:37: 0.000        15132.552195       271061.280498       147086.632373        -0.185580583         0.650376636         0.337539851        1
2023-04-22B19:37:30.000        15126.984754       271080.790146       147096.757667        -0.185582129         0.650266543         0.337479714        1
2023-04-22B19:38: 0.000        15121.417267       271100.296491       147106.881156        -0.185583669         0.650156465         0.337419586        1
2023-04-22B19:38:30.000        15115.849734       271119.799534       147117.002842        -0.185585205         0.650046402         0.337359466        1
2023-04-22B19:39: 0.000        15110.282155       271139.299275       147127.122724        -0.185586736         0.649936354         0.337299355        1
2023-04-22B19:39:30.000        15104.714530       271158.795715       147137.240804        -0.185588262         0.649826322         0.337239252        1
2023-04-22B19:40: 0.000        15099.146859       271178.288855       147147.357080        -0.185589784         0.649716306         0.337179157        1
2023-04-22B19:40:30.000        15093.579143       271197.778694       147157.471553        -0.185591301         0.649606304         0.337119071        1
2023-04-22B19:41: 0.000        15088.011381       271217.265233       147167.584224        -0.185592813         0.649496318         0.337058993        1
2023-04-22B19:41:30.000        15082.443574       271236.748473       147177.695093        -0.185594321         0.649386348         0.336998924        1
2023-04-22B19:42: 0.000        15076.875722       271256.228414       147187.804160        -0.185595823         0.649276392         0.336938863        1
2023-04-22B19:42:30.000        15071.307825       271275.705057       147197.911425        -0.185597321         0.649166452         0.336878810        1
2023-04-22B19:43: 0.000        15065.739883       271295.178401       147208.016888        -0.185598815         0.649056528         0.336818766        1
2023-04-22B19:43:30.000        15060.171896       271314.648448       147218.120551        -0.185600303         0.648946618         0.336758731        1
2023-04-22B19:44: 0.000        15054.603865       271334.115199       147228.222412        -0.185601787         0.648836724         0.336698703        1
2023-04-22B19:44:30.000        15049.035789       271353.578652       147238.322473        -0.185603266         0.648726845         0.336638684        1
2023-04-22B19:45: 0.000        15043.467669       271373.038809       147248.420733        -0.185604740         0.648616982         0.336578674        1
2023-04-22B19:45:30.000        15037.899504       271392.495671       147258.517193        -0.185606210         0.648507133         0.336518671        1
2023-04-22B19:46: 0.000        15032.331296       271411.949238       147268.611854        -0.185607675         0.648397300         0.336458678        1
2023-04-22B19:46:30.000        15026.763044       271431.399509       147278.704714        -0.185609135         0.648287483         0.336398692        1
2023-04-22B19:47: 0.000        15021.194748       271450.846487       147288.795775        -0.185610591         0.648177680         0.336338715        1
2023-04-22B19:47:30.000        15015.626409       271470.290170       147298.885037        -0.185612041         0.648067893         0.336278746        1
2023-04-22B19:48: 0.000        15010.058026       271489.730560       147308.972500        -0.185613487         0.647958121         0.336218786        1
2023-04-22B19:48:30.000        15004.489599       271509.167658       147319.058164        -0.185614929         0.647848364         0.336158834        1
2023-04-22B19:49: 0.000        14998.921130       271528.601462       147329.142030        -0.185616365         0.647738623         0.336098890        1
2023-04-22B19:49:30.000        14993.352617       271548.031975       147339.224098        -0.185617797         0.647628897         0.336038955        1
2023-04-22B19:50: 0.000        14987.784062       271567.459196       147349.304368        -0.185619225         0.647519186         0.335979028        1
2023-04-22B19:50:30.000        14982.215464       271586.883126       147359.382840        -0.185620647         0.647409490         0.335919109        1
2023-04-22B19:51: 0.000        14976.646823       271606.303766       147369.459514        -0.185622065         0.647299810         0.335859199        1
2023-04-22B19:51:30.000        14971.078140       271625.721115       147379.534392        -0.185623478         0.647190144         0.335799297        1
2023-04-22B19:52: 0.000        14965.509415       271645.135175       147389.607472        -0.185624886         0.647080494         0.335739404        1
2023-04-22B19:52:30.000        14959.940647       271664.545945       147399.678756        -0.185626290         0.646970859         0.335679518        1
2023-04-22B19:53: 0.000        14954.371837       271683.953426       147409.748243        -0.185627689         0.646861240         0.335619641        1
2023-04-22B19:53:30.000        14948.802986       271703.357620       147419.815935        -0.185629083         0.646751635         0.335559773        1
2023-04-22B19:54: 0.000        14943.234092       271722.758525       147429.881830        -0.185630473         0.646642046         0.335499912        1
2023-04-22B19:54:30.000        14937.665157       271742.156142       147439.945929        -0.185631857         0.646532472         0.335440061        1
2023-04-22B19:55: 0.000        14932.096181       271761.550473       147450.008233        -0.185633238         0.646422913         0.335380217        1
2023-04-22B19:55:30.000        14926.527163       271780.941517       147460.068742        -0.185634613         0.646313369         0.335320382        1
2023-04-22B19:56: 0.000        14920.958104       271800.329275       147470.127456        -0.185635984         0.646203841         0.335260555        1
2023-04-22B19:56:30.000        14915.389004       271819.713748       147480.184376        -0.185637350         0.646094327         0.335200736        1
2023-04-22B19:57: 0.000        14909.819863       271839.094935       147490.239501        -0.185638711         0.645984829         0.335140926        1
2023-04-22B19:57:30.000        14904.250682       271858.472838       147500.292831        -0.185640068         0.645875346         0.335081123        1
2023-04-22B19:58: 0.000        14898.681459       271877.847456       147510.344368        -0.185641420         0.645765878         0.335021330        1
2023-04-22B19:58:30.000        14893.112197       271897.218791       147520.394111        -0.185642767         0.645656425         0.334961544        1
2023-04-22B19:59: 0.000        14887.542893       271916.586842       147530.442061        -0.185644110         0.645546987         0.334901767        1
2023-04-22B19:59:30.000        14881.973550       271935.951610       147540.488217        -0.185645447         0.645437565         0.334841998        1
2023-04-22B20:00: 0.000        14876.404167       271955.313096       147550.532581        -0.185646781         0.645328157         0.334782237        1
2023-04-22B20:00:30.000        14870.834743       271974.671300       147560.575152        -0.185648109         0.645218765         0.334722485        1
2023-04-22B20:01: 0.000        14865.265280       271994.026222       147570.615930        -0.185649433         0.645109388         0.334662741        1
2023-04-22B20:01:30.000        14859.695777       272013.377863       147580.654916        -0.185650752         0.645000026         0.334603005        1
2023-04-22B20:02: 0.000        14854.126235       272032.726224       147590.692110        -0.185652066         0.644890679         0.334543278        1
2023-04-22B20:02:30.000        14848.556653       272052.071304       147600.727513        -0.185653376         0.644781347         0.334483559        1
2023-04-22B20:03: 0.000        14842.987032       272071.413104       147610.761124        -0.185654681         0.644672030         0.334423848        1
2023-04-22B20:03:30.000        14837.417373       272090.751626       147620.792944        -0.185655982         0.644562728         0.334364145        1
2023-04-22B20:04: 0.000        14831.847674       272110.086868       147630.822973        -0.185657277         0.644453442         0.334304451        1
2023-04-22B20:04:30.000        14826.277936       272129.418832       147640.851211        -0.185658568         0.644344170         0.334244764        1
2023-04-22B20:05: 0.000        14820.708160       272148.747519       147650.877659        -0.185659855         0.644234913         0.334185087        1
2023-04-22B20:05:30.000        14815.138345       272168.072927       147660.902316        -0.185661136         0.644125672         0.334125417        1
2023-04-22B20:06: 0.000        14809.568491       272187.395059       147670.925184        -0.185662413         0.644016446         0.334065755        1
2023-04-22B20:06:30.000        14803.998600       272206.713914       147680.946262        -0.185663686         0.643907234         0.334006102        1
2023-04-22B20:07: 0.000        14798.428670       272226.029493       147690.965550        -0.185664953         0.643798038         0.333946457        1
2023-04-22B20:07:30.000        14792.858703       272245.341797       147700.983049        -0.185666216         0.643688857         0.333886821        1
2023-04-22B20:08: 0.000        14787.288697       272264.650825       147710.998759        -0.185667475         0.643579691         0.333827192        1
2023-04-22B20:08:30.000        14781.718654       272283.956578       147721.012681        -0.185668728         0.643470539         0.333767572        1
2023-04-22B20:09: 0.000        14776.148574       272303.259057       147731.024814        -0.185669977         0.643361403         0.333707960        1
2023-04-22B20:09:30.000        14770.578456       272322.558263       147741.035159        -0.185671221         0.643252282         0.333648356        1
2023-04-22B20:10: 0.000        14765.008301       272341.854195       147751.043715        -0.185672461         0.643143176         0.333588761        1
2023-04-22B20:10:30.000        14759.438108       272361.146853       147761.050484        -0.185673696         0.643034085         0.333529174        1
2023-04-22B20:11: 0.000        14753.867879       272380.436240       147771.055466        -0.185674926         0.642925009         0.333469595        1
2023-04-22B20:11:30.000        14748.297613       272399.722354       147781.058660        -0.185676152         0.642815948         0.333410024        1
2023-04-22B20:12: 0.000        14742.727310       272419.005197       147791.060067        -0.185677373         0.642706902         0.333350461        1
2023-04-22B20:12:30.000        14737.156970       272438.284768       147801.059688        -0.185678589         0.642597871         0.333290907        1
2023-04-22B20:13: 0.000        14731.586594       272457.561069       147811.057522        -0.185679801         0.642488854         0.333231361        1
2023-04-22B20:13:30.000        14726.016182       272476.834100       147821.053570        -0.185681007         0.642379853         0.333171823        1
2023-04-22B20:14: 0.000        14720.445734       272496.103861       147831.047831        -0.185682210         0.642270867         0.333112293        1
2023-04-22B20:14:30.000        14714.875250       272515.370352       147841.040307        -0.185683407         0.642161896         0.333052771        1
2023-04-22B20:15: 0.000        14709.304730       272534.633574       147851.030998        -0.185684600         0.642052940         0.332993258        1
2023-04-22B20:15:30.000        14703.734174       272553.893528       147861.019903        -0.185685789         0.641943998         0.332933753        1
2023-04-22B20:16: 0.000        14698.163582       272573.150214       147871.007023        -0.185686972         0.641835072         0.332874256        1
2023-04-22B20:16:30.000        14692.592956       272592.403633       147880.992358        -0.185688151         0.641726160         0.332814767        1
2023-04-22B20:17: 0.000        14687.022293       272611.653784       147890.975909        -0.185689326         0.641617264         0.332755286        1
2023-04-22B20:17:30.000        14681.451596       272630.900669       147900.957675        -0.185690495         0.641508382         0.332695814        1
2023-04-22B20:18: 0.000        14675.880864       272650.144287       147910.937658        -0.185691660         0.641399516         0.332636349        1
2023-04-22B20:18:30.000        14670.310096       272669.384640       147920.915856        -0.185692821         0.641290664         0.332576893        1
2023-04-22B20:19: 0.000        14664.739294       272688.621727       147930.892272        -0.185693976         0.641181827         0.332517445        1
2023-04-22B20:19:30.000        14659.168458       272707.855550       147940.866903        -0.185695127         0.641073005         0.332458005        1
2023-04-22B20:20: 0.000        14653.597587       272727.086108       147950.839752        -0.185696274         0.640964199         0.332398574        1
2023-04-22B20:20:30.000        14648.026682       272746.313402       147960.810818        -0.185697416         0.640855406         0.332339150        1
2023-04-22B20:21: 0.000        14642.455742       272765.537432       147970.780101        -0.185698553         0.640746629         0.332279735        1
2023-04-22B20:21:30.000        14636.884768       272784.758200       147980.747602        -0.185699685         0.640637867         0.332220328        1
2023-04-22B20:22: 0.000        14631.313761       272803.975705       147990.713321        -0.185700813         0.640529120         0.332160929        1
2023-04-22B20:22:30.000        14625.742720       272823.189947       148000.677258        -0.185701936         0.640420387         0.332101538        1
2023-04-22B20:23: 0.000        14620.171645       272842.400928       148010.639413        -0.185703055         0.640311669         0.332042156        1
2023-04-22B20:23:30.000        14614.600536       272861.608647       148020.599787        -0.185704169         0.640202967         0.331982781        1
2023-04-22B20:24: 0.000        14609.029395       272880.813106       148030.558380        -0.185705278         0.640094279         0.331923415        1
2023-04-22B20:24:30.000        14603.458220       272900.014304       148040.515192        -0.185706382         0.639985606         0.331864056        1
2023-04-22B20:25: 0.000        14597.887012       272919.212243       148050.470224        -0.185707482         0.639876948         0.331804706        1
2023-04-22B20:25:30.000        14592.315771       272938.406921       148060.423475        -0.185708578         0.639768304         0.331745364        1
2023-04-22B20:26: 0.000        14586.744497       272957.598341       148070.374946        -0.185709668         0.639659676         0.331686030        1
2023-04-22B20:26:30.000        14581.173191       272976.786502       148080.324637        -0.185710755         0.639551062         0.331626705        1
2023-04-22B20:27: 0.000        14575.601852       272995.971405       148090.272548        -0.185711836         0.639442463         0.331567387        1
2023-04-22B20:27:30.000        14570.030481       273015.153050       148100.218680        -0.185712913         0.639333879         0.331508078        1
2023-04-22B20:28: 0.000        14564.459077       273034.331438       148110.163033        -0.185713985         0.639225310         0.331448776        1
2023-04-22B20:28:30.000        14558.887642       273053.506569       148120.105606        -0.185715052         0.639116756         0.331389483        1
2023-04-22B20:29: 0.000        14553.316174       273072.678443       148130.046402        -0.185716115         0.639008216         0.331330198        1
2023-04-22B20:29:30.000        14547.744675       273091.847062       148139.985418        -0.185717174         0.638899691         0.331270921        1
2023-04-22B20:30: 0.000        14542.173144       273111.012425       148149.922657        -0.185718227         0.638791181         0.331211652        1
2023-04-22B20:30:30.000        14536.601581       273130.174533       148159.858118        -0.185719276         0.638682686         0.331152391        1
2023-04-22B20:31: 0.000        14531.029987       273149.333386       148169.791801        -0.185720321         0.638574206         0.331093138        1
2023-04-22B20:31:30.000        14525.458362       273168.488985       148179.723706        -0.185721360         0.638465740         0.331033894        1
2023-04-22B20:32: 0.000        14519.886706       273187.641331       148189.653834        -0.185722396         0.638357289         0.330974657        1
2023-04-22B20:32:30.000        14514.315018       273206.790423       148199.582186        -0.185723426         0.638248853         0.330915429        1
2023-04-22B20:33: 0.000        14508.743300       273225.936262       148209.508760        -0.185724452         0.638140432         0.330856208        1
2023-04-22B20:33:30.000        14503.171551       273245.078849       148219.433558        -0.185725473         0.638032026         0.330796996        1
2023-04-22B20:34: 0.000        14497.599772       273264.218184       148229.356580        -0.185726490         0.637923634         0.330737792        1
2023-04-22B20:34:30.000        14492.027962       273283.354267       148239.277826        -0.185727502         0.637815257         0.330678596        1
2023-04-22B20:35: 0.000        14486.456122       273302.487099       148249.197296        -0.185728509         0.637706894         0.330619408        1
