 本行信息时间(北京时间)      位置X(km,BCRS)      位置Y(km,BCRS)      位置Z(km,BCRS)   速度VX(km/s,BCRS)   速度VY(km/s,BCRS)   速度VZ(km/s,BCRS)    定轨或预报
2023-04-20B13:58: 0.000   -131985709.136758    -68214108.880523    -29533714.663707        19.203098185       -18.730737346        -7.265033276        1
2023-04-20B13:58:30.000   -131985134.145062    -68214670.842266    -29533932.704518        19.130001821       -18.733509683        -7.271071619        1
2023-04-20B13:59: 0.000   -131984561.317745    -68215232.898649    -29534150.930909        19.058795951       -18.737036662        -7.277400535        1
2023-04-20B13:59:30.000   -131983990.599006    -68215795.071428    -29534369.351178        18.989419961       -18.741260055        -7.283992314        1
2023-04-20B14:00: 0.000   -131983421.934838    -68216357.380675    -29534587.972821        18.921814926       -18.746125834        -7.290821410        1
2023-04-20B14:00:30.000   -131982855.272974    -68216919.844900    -29534806.802599        18.855923639       -18.751583865        -7.297864275        1
2023-04-20B14:01: 0.000   -131982290.562837    -68217482.481163    -29535025.846597        18.791690631       -18.757587619        -7.305099204        1
2023-04-20B14:01:30.000   -131981727.755491    -68218045.305181    -29535245.110272        18.729062168       -18.764093906        -7.312506191        1
2023-04-20B14:02: 0.000   -131981166.803582    -68218608.331421    -29535464.598504        18.667986248       -18.771062633        -7.320066794        1
2023-04-20B14:02:30.000   -131980607.661294    -68219171.573191    -29535684.315645        18.608412579       -18.778456574        -7.327764015        1
2023-04-20B14:03: 0.000   -131980050.284292    -68219735.042721    -29535904.265554        18.550292560       -18.786241158        -7.335582189        1
2023-04-20B14:03:30.000   -131979494.629674    -68220298.751245    -29536124.451641        18.493579248       -18.794384276        -7.343506878        1
2023-04-20B14:04: 0.000   -131978940.655924    -68220862.709064    -29536344.876899        18.438227323       -18.802856101        -7.351524774        1
2023-04-20B14:04:30.000   -131978388.322859    -68221426.925620    -29536565.543937        18.384193055       -18.811628920        -7.359623616        1
2023-04-20B14:05: 0.000   -131977837.591586    -68221991.409551    -29536786.455012        18.331434256       -18.820676980        -7.367792106        1
2023-04-20B14:05:30.000   -131977288.424456    -68222556.168751    -29537007.612055        18.279910242       -18.829976347        -7.376019835        1
2023-04-20B14:06: 0.000   -131976740.785016    -68223121.210422    -29537229.016698        18.229581791       -18.839504770        -7.384297214        1
2023-04-20B14:06:30.000   -131976194.637971    -68223686.541121    -29537450.670296        18.180411092       -18.849241567        -7.392615414        1
2023-04-20B14:07: 0.000   -131975649.949138    -68224252.166807    -29537672.573950        18.132361703       -18.859167503        -7.400966303        1
2023-04-20B14:07:30.000   -131975106.685408    -68224818.092883    -29537894.728526        18.085398506       -18.869264693        -7.409342396        1
2023-04-20B14:08: 0.000   -131974564.814705    -68225384.324234    -29538117.134676        18.039487662       -18.879516502        -7.417736804        1
2023-04-20B14:08:30.000   -131974024.305951    -68225950.865264    -29538339.792854        17.994596562       -18.889907456        -7.426143191        1
2023-04-20B14:09: 0.000   -131973485.129028    -68226517.719929    -29538562.703329        17.950693791       -18.900423164        -7.434555730        1
2023-04-20B14:09:30.000   -131972947.254743    -68227084.891767    -29538785.866205        17.907749074       -18.911050233        -7.442969063        1
2023-04-20B14:10: 0.000   -131972410.654795    -68227652.383932    -29539009.281432        17.865733244       -18.921776205        -7.451378269        1
2023-04-20B14:10:30.000   -131971875.301741    -68228220.199213    -29539232.948815        17.824618192       -18.932589491        -7.459778831        1
2023-04-20B14:11: 0.000   -131971341.168967    -68228788.340066    -29539456.868033        17.784376835       -18.943479305        -7.468166601        1
2023-04-20B14:11:30.000   -131970808.230656    -68229356.808636    -29539681.038645        17.744983069       -18.954435612        -7.476537777        1
2023-04-20B14:12: 0.000   -131970276.461759    -68229925.606774    -29539905.460099        17.706411736       -18.965449076        -7.484888877        1
2023-04-20B14:12:30.000   -131969745.837970    -68230494.736065    -29540130.131745        17.668638585       -18.976511012        -7.493216712        1
2023-04-20B14:13: 0.000   -131969216.335696    -68231064.197839    -29540355.052840        17.631640240       -18.987613339        -7.501518367        1
2023-04-20B14:13:30.000   -131968687.932033    -68231633.993193    -29540580.222558        17.595394159       -18.998748539        -7.509791178        1
2023-04-20B14:14: 0.000   -131968160.604741    -68232204.123010    -29540805.639998        17.559878610       -19.009909622        -7.518032718        1
2023-04-20B14:14:30.000   -131967634.332221    -68232774.587964    -29541031.304187        17.525072631       -19.021090084        -7.526240773        1
2023-04-20B14:15: 0.000   -131967109.093490    -68233345.388548    -29541257.214089        17.490956005       -19.032283881        -7.534413332        1
2023-04-20B14:15:30.000   -131966584.868162    -68233916.525074    -29541483.368613        17.457509228       -19.043485394        -7.542548569        1
2023-04-20B14:16: 0.000   -131966061.636426    -68234487.997696    -29541709.766614        17.424713480       -19.054689398        -7.550644829        1
