 本行信息时间(北京时间)      位置X(km,BCRS)      位置Y(km,BCRS)      位置Z(km,BCRS)   速度VX(km/s,BCRS)   速度VY(km/s,BCRS)   速度VZ(km/s,BCRS)    定轨或预报
2023-04-22B00:16:30.000   -130173514.582503    -70929311.792319    -30687152.759944        14.700446240       -22.591975148        -9.703403325        1
2023-04-22B00:17: 0.000   -130173073.567128    -70929989.552870    -30687443.862900        14.700578781       -22.592061601        -9.703460410        1
2023-04-22B00:17:30.000   -130172632.547776    -70930667.316014    -30687734.967568        14.700711334       -22.592148009        -9.703517472        1
2023-04-22B00:18: 0.000   -130172191.524448    -70931345.081750    -30688026.073948        14.700843900       -22.592234373        -9.703574509        1
2023-04-22B00:18:30.000   -130171750.497142    -70932022.850076    -30688317.182039        14.700976478       -22.592320694        -9.703631522        1
2023-04-22B00:19: 0.000   -130171309.465859    -70932700.620992    -30688608.291839        14.701109069       -22.592406971        -9.703688510        1
2023-04-22B00:19:30.000   -130170868.430598    -70933378.394494    -30688899.403349        14.701241671       -22.592493204        -9.703745474        1
2023-04-22B00:20: 0.000   -130170427.391359    -70934056.170583    -30689190.516567        14.701374286       -22.592579393        -9.703802414        1
2023-04-22B00:20:30.000   -130169986.348141    -70934733.949257    -30689481.631493        14.701506914       -22.592665538        -9.703859330        1
2023-04-22B00:21: 0.000   -130169545.300944    -70935411.730515    -30689772.748127        14.701639553       -22.592751639        -9.703916221        1
2023-04-22B00:21:30.000   -130169104.249767    -70936089.514355    -30690063.866467        14.701772205       -22.592837697        -9.703973088        1
2023-04-22B00:22: 0.000   -130168663.194611    -70936767.300777    -30690354.986512        14.701904869       -22.592923711        -9.704029931        1
2023-04-22B00:22:30.000   -130168222.135475    -70937445.089778    -30690646.108262        14.702037545       -22.593009681        -9.704086749        1
2023-04-22B00:23: 0.000   -130167781.072358    -70938122.881357    -30690937.231717        14.702170234       -22.593095608        -9.704143544        1
2023-04-22B00:23:30.000   -130167340.005261    -70938800.675514    -30691228.356875        14.702302935       -22.593181491        -9.704200314        1
2023-04-22B00:24: 0.000   -130166898.934182    -70939478.472246    -30691519.483735        14.702435648       -22.593267330        -9.704257060        1
2023-04-22B00:24:30.000   -130166457.859122    -70940156.271553    -30691810.612298        14.702568373       -22.593353126        -9.704313782        1
2023-04-22B00:25: 0.000   -130166016.780080    -70940834.073433    -30692101.742562        14.702701111       -22.593438878        -9.704370480        1
2023-04-22B00:25:30.000   -130165575.697055    -70941511.877885    -30692392.874526        14.702833860       -22.593524586        -9.704427153        1
2023-04-22B00:26: 0.000   -130165134.610048    -70942189.684908    -30692684.008191        14.702966622       -22.593610251        -9.704483803        1
2023-04-22B00:26:30.000   -130164693.519058    -70942867.494500    -30692975.143554        14.703099396       -22.593695873        -9.704540428        1
2023-04-22B00:27: 0.000   -130164252.424084    -70943545.306660    -30693266.280616        14.703232183       -22.593781451        -9.704597029        1
2023-04-22B00:27:30.000   -130163811.325127    -70944223.121386    -30693557.419376        14.703364981       -22.593866985        -9.704653607        1
2023-04-22B00:28: 0.000   -130163370.222185    -70944900.938678    -30693848.559832        14.703497792       -22.593952476        -9.704710160        1
2023-04-22B00:28:30.000   -130162929.115259    -70945578.758535    -30694139.701985        14.703630614       -22.594037924        -9.704766689        1
2023-04-22B00:29: 0.000   -130162488.004348    -70946256.580953    -30694430.845833        14.703763449       -22.594123328        -9.704823194        1
2023-04-22B00:29:30.000   -130162046.889452    -70946934.405934    -30694721.991377        14.703896296       -22.594208689        -9.704879675        1
2023-04-22B00:30: 0.000   -130161605.770570    -70947612.233474    -30695013.138614        14.704029156       -22.594294006        -9.704936131        1
2023-04-22B00:30:30.000   -130161164.647702    -70948290.063574    -30695304.287544        14.704162027       -22.594379281        -9.704992564        1
2023-04-22B00:31: 0.000   -130160723.520848    -70948967.896231    -30695595.438167        14.704294910       -22.594464511        -9.705048973        1
2023-04-22B00:31:30.000   -130160282.390008    -70949645.731444    -30695886.590482        14.704427806       -22.594549699        -9.705105358        1
2023-04-22B00:32: 0.000   -130159841.255180    -70950323.569212    -30696177.744489        14.704560714       -22.594634843        -9.705161719        1
2023-04-22B00:32:30.000   -130159400.116365    -70951001.409534    -30696468.900185        14.704693633       -22.594719944        -9.705218056        1
2023-04-22B00:33: 0.000   -130158958.973562    -70951679.252408    -30696760.057572        14.704826565       -22.594805002        -9.705274369        1
2023-04-22B00:33:30.000   -130158517.826771    -70952357.097834    -30697051.216647        14.704959509       -22.594890017        -9.705330658        1
2023-04-22B00:34: 0.000   -130158076.675991    -70953034.945809    -30697342.377411        14.705092465       -22.594974988        -9.705386924        1
2023-04-22B00:34:30.000   -130157635.521223    -70953712.796333    -30697633.539862        14.705225433       -22.595059917        -9.705443165        1
2023-04-22B00:35: 0.000   -130157194.362465    -70954390.649404    -30697924.704001        14.705358413       -22.595144802        -9.705499382        1
2023-04-22B00:35:30.000   -130156753.199718    -70955068.505020    -30698215.869825        14.705491405       -22.595229644        -9.705555576        1
2023-04-22B00:36: 0.000   -130156312.032981    -70955746.363182    -30698507.037335        14.705624409       -22.595314443        -9.705611745        1
2023-04-22B00:36:30.000   -130155870.862253    -70956424.223887    -30698798.206530        14.705757425       -22.595399199        -9.705667891        1
2023-04-22B00:37: 0.000   -130155429.687535    -70957102.087133    -30699089.377408        14.705890454       -22.595483912        -9.705724013        1
2023-04-22B00:37:30.000   -130154988.508826    -70957779.952921    -30699380.549970        14.706023494       -22.595568582        -9.705780111        1
2023-04-22B00:38: 0.000   -130154547.326125    -70958457.821248    -30699671.724215        14.706156546       -22.595653209        -9.705836186        1
2023-04-22B00:38:30.000   -130154106.139433    -70959135.692113    -30699962.900141        14.706289610       -22.595737793        -9.705892236        1
2023-04-22B00:39: 0.000   -130153664.948749    -70959813.565515    -30700254.077749        14.706422686       -22.595822334        -9.705948263        1
2023-04-22B00:39:30.000   -130153223.754072    -70960491.441453    -30700545.257037        14.706555775       -22.595906832        -9.706004266        1
2023-04-22B00:40: 0.000   -130152782.555402    -70961169.319925    -30700836.438004        14.706688875       -22.595991288        -9.706060245        1
2023-04-22B00:40:30.000   -130152341.352739    -70961847.200929    -30701127.620651        14.706821987       -22.596075700        -9.706116201        1
2023-04-22B00:41: 0.000   -130151900.146083    -70962525.084466    -30701418.804976        14.706955111       -22.596160070        -9.706172133        1
2023-04-22B00:41:30.000   -130151458.935432    -70963202.970533    -30701709.990979        14.707088247       -22.596244396        -9.706228041        1
2023-04-22B00:42: 0.000   -130151017.720788    -70963880.859129    -30702001.178658        14.707221395       -22.596328680        -9.706283925        1
2023-04-22B00:42:30.000   -130150576.502148    -70964558.750254    -30702292.368014        14.707354555       -22.596412922        -9.706339785        1
2023-04-22B00:43: 0.000   -130150135.279514    -70965236.643904    -30702583.559045        14.707487727       -22.596497120        -9.706395622        1
2023-04-22B00:43:30.000   -130149694.052885    -70965914.540080    -30702874.751751        14.707620910       -22.596581276        -9.706451436        1
2023-04-22B00:44: 0.000   -130149252.822260    -70966592.438780    -30703165.946131        14.707754106       -22.596665389        -9.706507225        1
2023-04-22B00:44:30.000   -130148811.587638    -70967270.340003    -30703457.142184        14.707887313       -22.596749459        -9.706562991        1
2023-04-22B00:45: 0.000   -130148370.349021    -70967948.243748    -30703748.339910        14.708020533       -22.596833487        -9.706618733        1
2023-04-22B00:45:30.000   -130147929.106406    -70968626.150012    -30704039.539308        14.708153764       -22.596917472        -9.706674452        1
2023-04-22B00:46: 0.000   -130147487.859795    -70969304.058795    -30704330.740377        14.708287007       -22.597001414        -9.706730147        1
2023-04-22B00:46:30.000   -130147046.609186    -70969981.970096    -30704621.943117        14.708420262       -22.597085314        -9.706785819        1
2023-04-22B00:47: 0.000   -130146605.354579    -70970659.883914    -30704913.147526        14.708553529       -22.597169171        -9.706841467        1
2023-04-22B00:47:30.000   -130146164.095974    -70971337.800246    -30705204.353605        14.708686808       -22.597252986        -9.706897091        1
2023-04-22B00:48: 0.000   -130145722.833370    -70972015.719093    -30705495.561351        14.708820099       -22.597336758        -9.706952692        1
2023-04-22B00:48:30.000   -130145281.566768    -70972693.640451    -30705786.770766        14.708953401       -22.597420487        -9.707008269        1
2023-04-22B00:49: 0.000   -130144840.296166    -70973371.564321    -30706077.981847        14.709086715       -22.597504175        -9.707063823        1
2023-04-22B00:49:30.000   -130144399.021565    -70974049.490701    -30706369.194595        14.709220042       -22.597587819        -9.707119353        1
2023-04-22B00:50: 0.000   -130143957.742963    -70974727.419590    -30706660.409008        14.709353379       -22.597671422        -9.707174860        1
2023-04-22B00:50:30.000   -130143516.460362    -70975405.350986    -30706951.625086        14.709486729       -22.597754981        -9.707230343        1
2023-04-22B00:51: 0.000   -130143075.173760    -70976083.284889    -30707242.842829        14.709620091       -22.597838499        -9.707285803        1
2023-04-22B00:51:30.000   -130142633.883156    -70976761.221296    -30707534.062234        14.709753464       -22.597921974        -9.707341239        1
2023-04-22B00:52: 0.000   -130142192.588552    -70977439.160207    -30707825.283303        14.709886849       -22.598005407        -9.707396652        1
2023-04-22B00:52:30.000   -130141751.289945    -70978117.101620    -30708116.506033        14.710020246       -22.598088797        -9.707452041        1
2023-04-22B00:53: 0.000   -130141309.987337    -70978795.045534    -30708407.730425        14.710153655       -22.598172145        -9.707507407        1
2023-04-22B00:53:30.000   -130140868.680726    -70979472.991948    -30708698.956477        14.710287075       -22.598255451        -9.707562749        1
2023-04-22B00:54: 0.000   -130140427.370112    -70980150.940861    -30708990.184190        14.710420507       -22.598338715        -9.707618068        1
2023-04-22B00:54:30.000   -130139986.055495    -70980828.892270    -30709281.413561        14.710553951       -22.598421936        -9.707673364        1
2023-04-22B00:55: 0.000   -130139544.736875    -70981506.846176    -30709572.644591        14.710687407       -22.598505115        -9.707728636        1
2023-04-22B00:55:30.000   -130139103.414251    -70982184.802577    -30709863.877279        14.710820874       -22.598588252        -9.707783885        1
2023-04-22B00:56: 0.000   -130138662.087622    -70982862.761471    -30710155.111624        14.710954353       -22.598671347        -9.707839111        1
2023-04-22B00:56:30.000   -130138220.756989    -70983540.722857    -30710446.347625        14.711087844       -22.598754400        -9.707894313        1
2023-04-22B00:57: 0.000   -130137779.422352    -70984218.686735    -30710737.585283        14.711221347       -22.598837410        -9.707949492        1
2023-04-22B00:57:30.000   -130137338.083708    -70984896.653102    -30711028.824595        14.711354861       -22.598920379        -9.708004648        1
2023-04-22B00:58: 0.000   -130136896.741060    -70985574.621957    -30711320.065561        14.711488387       -22.599003305        -9.708059780        1
2023-04-22B00:58:30.000   -130136455.394405    -70986252.593299    -30711611.308181        14.711621924       -22.599086189        -9.708114889        1
2023-04-22B00:59: 0.000   -130136014.043744    -70986930.567128    -30711902.552454        14.711755474       -22.599169032        -9.708169975        1
2023-04-22B00:59:30.000   -130135572.689077    -70987608.543441    -30712193.798380        14.711889034       -22.599251832        -9.708225037        1
2023-04-22B01:00: 0.000   -130135131.330402    -70988286.522237    -30712485.045956        14.712022607       -22.599334590        -9.708280077        1
2023-04-22B01:00:30.000   -130134689.967720    -70988964.503516    -30712776.295184        14.712156191       -22.599417307        -9.708335093        1
2023-04-22B01:01: 0.000   -130134248.601030    -70989642.487275    -30713067.546062        14.712289787       -22.599499981        -9.708390085        1
2023-04-22B01:01:30.000   -130133807.230333    -70990320.473514    -30713358.798589        14.712423395       -22.599582613        -9.708445055        1
2023-04-22B01:02: 0.000   -130133365.855627    -70990998.462232    -30713650.052765        14.712557014       -22.599665204        -9.708500001        1
2023-04-22B01:02:30.000   -130132924.476912    -70991676.453426    -30713941.308589        14.712690645       -22.599747753        -9.708554925        1
2023-04-22B01:03: 0.000   -130132483.094188    -70992354.447096    -30714232.566060        14.712824287       -22.599830260        -9.708609825        1
2023-04-22B01:03:30.000   -130132041.707454    -70993032.443241    -30714523.825178        14.712957941       -22.599912725        -9.708664701        1
2023-04-22B01:04: 0.000   -130131600.316711    -70993710.441860    -30714815.085942        14.713091607       -22.599995148        -9.708719555        1
2023-04-22B01:04:30.000   -130131158.921958    -70994388.442950    -30715106.348351        14.713225284       -22.600077529        -9.708774385        1
2023-04-22B01:05: 0.000   -130130717.523194    -70995066.446511    -30715397.612405        14.713358973       -22.600159869        -9.708829193        1
2023-04-22B01:05:30.000   -130130276.120419    -70995744.452542    -30715688.878102        14.713492673       -22.600242167        -9.708883977        1
2023-04-22B01:06: 0.000   -130129834.713634    -70996422.461040    -30715980.145443        14.713626385       -22.600324423        -9.708938738        1
2023-04-22B01:06:30.000   -130129393.302836    -70997100.472006    -30716271.414426        14.713760108       -22.600406637        -9.708993476        1
2023-04-22B01:07: 0.000   -130128951.888027    -70997778.485438    -30716562.685052        14.713893843       -22.600488810        -9.709048191        1
2023-04-22B01:07:30.000   -130128510.469206    -70998456.501335    -30716853.957318        14.714027590       -22.600570941        -9.709102883        1
2023-04-22B01:08: 0.000   -130128069.046372    -70999134.519694    -30717145.231224        14.714161348       -22.600653031        -9.709157552        1
2023-04-22B01:08:30.000   -130127627.619525    -70999812.540516    -30717436.506771        14.714295118       -22.600735079        -9.709212198        1
2023-04-22B01:09: 0.000   -130127186.188664    -71000490.563799    -30717727.783956        14.714428899       -22.600817085        -9.709266821        1
2023-04-22B01:09:30.000   -130126744.753791    -71001168.589541    -30718019.062780        14.714562691       -22.600899050        -9.709321421        1
2023-04-22B01:10: 0.000   -130126303.314903    -71001846.617741    -30718310.343241        14.714696496       -22.600980973        -9.709375997        1
2023-04-22B01:10:30.000   -130125861.872001    -71002524.648399    -30718601.625339        14.714830311       -22.601062855        -9.709430551        1
2023-04-22B01:11: 0.000   -130125420.425084    -71003202.681512    -30718892.909074        14.714964139       -22.601144695        -9.709485082        1
2023-04-22B01:11:30.000   -130124978.974152    -71003880.717080    -30719184.194444        14.715097977       -22.601226494        -9.709539590        1
2023-04-22B01:12: 0.000   -130124537.519205    -71004558.755101    -30719475.481449        14.715231827       -22.601308251        -9.709594075        1
2023-04-22B01:12:30.000   -130124096.060243    -71005236.795575    -30719766.770088        14.715365689       -22.601389967        -9.709648537        1
2023-04-22B01:13: 0.000   -130123654.597264    -71005914.838499    -30720058.060361        14.715499562       -22.601471641        -9.709702976        1
2023-04-22B01:13:30.000   -130123213.130269    -71006592.883873    -30720349.352267        14.715633447       -22.601553274        -9.709757392        1
2023-04-22B01:14: 0.000   -130122771.659257    -71007270.931695    -30720640.645804        14.715767343       -22.601634866        -9.709811785        1
2023-04-22B01:14:30.000   -130122330.184228    -71007948.981964    -30720931.940973        14.715901250       -22.601716416        -9.709866155        1
2023-04-22B01:15: 0.000   -130121888.705182    -71008627.034680    -30721223.237773        14.716035169       -22.601797925        -9.709920503        1
2023-04-22B01:15:30.000   -130121447.222118    -71009305.089840    -30721514.536203        14.716169099       -22.601879393        -9.709974827        1
2023-04-22B01:16: 0.000   -130121005.735036    -71009983.147443    -30721805.836263        14.716303041       -22.601960820        -9.710029129        1
2023-04-22B01:16:30.000   -130120564.243935    -71010661.207488    -30722097.137951        14.716436994       -22.602042205        -9.710083408        1
2023-04-22B01:17: 0.000   -130120122.748816    -71011339.269975    -30722388.441267        14.716570959       -22.602123549        -9.710137664        1
2023-04-22B01:17:30.000   -130119681.249678    -71012017.334901    -30722679.746210        14.716704934       -22.602204851        -9.710191897        1
2023-04-22B01:18: 0.000   -130119239.746520    -71012695.402265    -30722971.052781        14.716838922       -22.602286113        -9.710246107        1
2023-04-22B01:18:30.000   -130118798.239342    -71013373.472067    -30723262.360977        14.716972920       -22.602367333        -9.710300295        1
2023-04-22B01:19: 0.000   -130118356.728144    -71014051.544305    -30723553.670798        14.717106931       -22.602448512        -9.710354460        1
2023-04-22B01:19:30.000   -130117915.212926    -71014729.618977    -30723844.982244        14.717240952       -22.602529650        -9.710408602        1
2023-04-22B01:20: 0.000   -130117473.693687    -71015407.696084    -30724136.295314        14.717374985       -22.602610747        -9.710462721        1
2023-04-22B01:20:30.000   -130117032.170427    -71016085.775622    -30724427.610007        14.717509029       -22.602691803        -9.710516817        1
2023-04-22B01:21: 0.000   -130116590.643145    -71016763.857591    -30724718.926323        14.717643084       -22.602772818        -9.710570891        1
2023-04-22B01:21:30.000   -130116149.111842    -71017441.941991    -30725010.244260        14.717777151       -22.602853792        -9.710624942        1
2023-04-22B01:22: 0.000   -130115707.576516    -71018120.028818    -30725301.563819        14.717911229       -22.602934724        -9.710678971        1
2023-04-22B01:22:30.000   -130115266.037168    -71018798.118074    -30725592.884998        14.718045319       -22.603015616        -9.710732976        1
2023-04-22B01:23: 0.000   -130114824.493797    -71019476.209755    -30725884.207797        14.718179420       -22.603096467        -9.710786959        1
2023-04-22B01:23:30.000   -130114382.946403    -71020154.303861    -30726175.532216        14.718313532       -22.603177276        -9.710840920        1
2023-04-22B01:24: 0.000   -130113941.394985    -71020832.400391    -30726466.858252        14.718447655       -22.603258045        -9.710894857        1
2023-04-22B01:24:30.000   -130113499.839543    -71021510.499343    -30726758.185907        14.718581790       -22.603338773        -9.710948772        1
2023-04-22B01:25: 0.000   -130113058.280077    -71022188.600717    -30727049.515178        14.718715936       -22.603419460        -9.711002664        1
2023-04-22B01:25:30.000   -130112616.716587    -71022866.704511    -30727340.846066        14.718850093       -22.603500106        -9.711056534        1
2023-04-22B01:26: 0.000   -130112175.149072    -71023544.810723    -30727632.178570        14.718984262       -22.603580712        -9.711110381        1
2023-04-22B01:26:30.000   -130111733.577531    -71024222.919353    -30727923.512689        14.719118442       -22.603661276        -9.711164206        1
2023-04-22B01:27: 0.000   -130111292.001965    -71024901.030399    -30728214.848422        14.719252633       -22.603741800        -9.711218008        1
2023-04-22B01:27:30.000   -130110850.422373    -71025579.143861    -30728506.185769        14.719386835       -22.603822283        -9.711271787        1
2023-04-22B01:28: 0.000   -130110408.838755    -71026257.259736    -30728797.524729        14.719521048       -22.603902725        -9.711325544        1
2023-04-22B01:28:30.000   -130109967.251110    -71026935.378024    -30729088.865302        14.719655273       -22.603983126        -9.711379278        1
2023-04-22B01:29: 0.000   -130109525.659438    -71027613.498723    -30729380.207486        14.719789509       -22.604063487        -9.711432989        1
2023-04-22B01:29:30.000   -130109084.063739    -71028291.621832    -30729671.551281        14.719923757       -22.604143807        -9.711486679        1
2023-04-22B01:30: 0.000   -130108642.464013    -71028969.747351    -30729962.896686        14.720058015       -22.604224086        -9.711540345        1
2023-04-22B01:30:30.000   -130108200.860258    -71029647.875277    -30730254.243701        14.720192285       -22.604304325        -9.711593989        1
2023-04-22B01:31: 0.000   -130107759.252476    -71030326.005610    -30730545.592325        14.720326566       -22.604384523        -9.711647611        1
2023-04-22B01:31:30.000   -130107317.640664    -71031004.138348    -30730836.942558        14.720460858       -22.604464680        -9.711701210        1
2023-04-22B01:32: 0.000   -130106876.024824    -71031682.273490    -30731128.294398        14.720595161       -22.604544797        -9.711754786        1
2023-04-22B01:32:30.000   -130106434.404955    -71032360.411036    -30731419.647845        14.720729475       -22.604624873        -9.711808341        1
2023-04-22B01:33: 0.000   -130105992.781055    -71033038.550982    -30731711.002898        14.720863801       -22.604704909        -9.711861872        1
2023-04-22B01:33:30.000   -130105551.153126    -71033716.693330    -30732002.359557        14.720998138       -22.604784904        -9.711915382        1
2023-04-22B01:34: 0.000   -130105109.521167    -71034394.838076    -30732293.717821        14.721132485       -22.604864858        -9.711968869        1
2023-04-22B01:34:30.000   -130104667.885177    -71035072.985221    -30732585.077689        14.721266845       -22.604944773        -9.712022333        1
2023-04-22B01:35: 0.000   -130104226.245156    -71035751.134762    -30732876.439160        14.721401215       -22.605024646        -9.712075775        1
2023-04-22B01:35:30.000   -130103784.601104    -71036429.286699    -30733167.802235        14.721535596       -22.605104479        -9.712129195        1
2023-04-22B01:36: 0.000   -130103342.953020    -71037107.441031    -30733459.166912        14.721669988       -22.605184272        -9.712182592        1
2023-04-22B01:36:30.000   -130102901.300905    -71037785.597755    -30733750.533190        14.721804392       -22.605264025        -9.712235967        1
2023-04-22B01:37: 0.000   -130102459.644757    -71038463.756872    -30734041.901070        14.721938807       -22.605343736        -9.712289319        1
2023-04-22B01:37:30.000   -130102017.984576    -71039141.918379    -30734333.270549        14.722073233       -22.605423408        -9.712342650        1
2023-04-22B01:38: 0.000   -130101576.320363    -71039820.082276    -30734624.641628        14.722207669       -22.605503039        -9.712395958        1
2023-04-22B01:38:30.000   -130101134.652116    -71040498.248561    -30734916.014306        14.722342117       -22.605582630        -9.712449243        1
2023-04-22B01:39: 0.000   -130100692.979836    -71041176.417233    -30735207.388583        14.722476577       -22.605662181        -9.712502506        1
2023-04-22B01:39:30.000   -130100251.303521    -71041854.588291    -30735498.764457        14.722611047       -22.605741691        -9.712555747        1
2023-04-22B01:40: 0.000   -130099809.623173    -71042532.761734    -30735790.141927        14.722745528       -22.605821162        -9.712608966        1
2023-04-22B01:40:30.000   -130099367.938789    -71043210.937561    -30736081.520994        14.722880020       -22.605900591        -9.712662162        1
2023-04-22B01:41: 0.000   -130098926.250371    -71043889.115769    -30736372.901657        14.723014523       -22.605979981        -9.712715337        1
2023-04-22B01:41:30.000   -130098484.557918    -71044567.296359    -30736664.283914        14.723149038       -22.606059331        -9.712768489        1
2023-04-22B01:42: 0.000   -130098042.861429    -71045245.479329    -30736955.667766        14.723283563       -22.606138640        -9.712821618        1
2023-04-22B01:42:30.000   -130097601.160904    -71045923.664677    -30737247.053211        14.723418100       -22.606217909        -9.712874726        1
2023-04-22B01:43: 0.000   -130097159.456343    -71046601.852403    -30737538.440249        14.723552647       -22.606297138        -9.712927811        1
2023-04-22B01:43:30.000   -130096717.747745    -71047280.042505    -30737829.828880        14.723687206       -22.606376327        -9.712980874        1
2023-04-22B01:44: 0.000   -130096276.035110    -71047958.234982    -30738121.219102        14.723821775       -22.606455476        -9.713033915        1
2023-04-22B01:44:30.000   -130095834.318438    -71048636.429833    -30738412.610914        14.723956356       -22.606534585        -9.713086933        1
2023-04-22B01:45: 0.000   -130095392.597729    -71049314.627057    -30738704.004317        14.724090947       -22.606613653        -9.713139930        1
2023-04-22B01:45:30.000   -130094950.872981    -71049992.826652    -30738995.399310        14.724225550       -22.606692682        -9.713192904        1
2023-04-22B01:46: 0.000   -130094509.144196    -71050671.028617    -30739286.795891        14.724360163       -22.606771671        -9.713245857        1
2023-04-22B01:46:30.000   -130094067.411372    -71051349.232952    -30739578.194061        14.724494788       -22.606850619        -9.713298787        1
2023-04-22B01:47: 0.000   -130093625.674508    -71052027.439654    -30739869.593818        14.724629423       -22.606929528        -9.713351695        1
2023-04-22B01:47:30.000   -130093183.933606    -71052705.648723    -30740160.995162        14.724764070       -22.607008397        -9.713404580        1
2023-04-22B01:48: 0.000   -130092742.188664    -71053383.860157    -30740452.398093        14.724898727       -22.607087226        -9.713457444        1
2023-04-22B01:48:30.000   -130092300.439682    -71054062.073956    -30740743.802609        14.725033395       -22.607166014        -9.713510286        1
2023-04-22B01:49: 0.000   -130091858.686660    -71054740.290118    -30741035.208710        14.725168075       -22.607244764        -9.713563106        1
2023-04-22B01:49:30.000   -130091416.929598    -71055418.508642    -30741326.616395        14.725302765       -22.607323473        -9.713615903        1
2023-04-22B01:50: 0.000   -130090975.168494    -71056096.729526    -30741618.025664        14.725437466       -22.607402142        -9.713668679        1
2023-04-22B01:50:30.000   -130090533.403350    -71056774.952770    -30741909.436516        14.725572178       -22.607480772        -9.713721432        1
2023-04-22B01:51: 0.000   -130090091.634163    -71057453.178372    -30742200.848950        14.725706901       -22.607559361        -9.713774163        1
2023-04-22B01:51:30.000   -130089649.860935    -71058131.406331    -30742492.262965        14.725841635       -22.607637911        -9.713826873        1
2023-04-22B01:52: 0.000   -130089208.083665    -71058809.636646    -30742783.678562        14.725976380       -22.607716422        -9.713879560        1
2023-04-22B01:52:30.000   -130088766.302353    -71059487.869316    -30743075.095739        14.726111136       -22.607794892        -9.713932226        1
2023-04-22B01:53: 0.000   -130088324.516997    -71060166.104339    -30743366.514495        14.726245902       -22.607873323        -9.713984869        1
2023-04-22B01:53:30.000   -130087882.727598    -71060844.341715    -30743657.934830        14.726380680       -22.607951714        -9.714037491        1
2023-04-22B01:54: 0.000   -130087440.934156    -71061522.581442    -30743949.356744        14.726515468       -22.608030065        -9.714090090        1
2023-04-22B01:54:30.000   -130086999.136670    -71062200.823518    -30744240.780236        14.726650267       -22.608108377        -9.714142668        1
2023-04-22B01:55: 0.000   -130086557.335140    -71062879.067944    -30744532.205304        14.726785077       -22.608186649        -9.714195223        1
2023-04-22B01:55:30.000   -130086115.529565    -71063557.314717    -30744823.631949        14.726919898       -22.608264881        -9.714247757        1
2023-04-22B01:56: 0.000   -130085673.719946    -71064235.563836    -30745115.060169        14.727054730       -22.608343074        -9.714300269        1
2023-04-22B01:56:30.000   -130085231.906282    -71064913.815301    -30745406.489965        14.727189572       -22.608421228        -9.714352759        1
2023-04-22B01:57: 0.000   -130084790.088572    -71065592.069110    -30745697.921335        14.727324426       -22.608499341        -9.714405227        1
2023-04-22B01:57:30.000   -130084348.266816    -71066270.325261    -30745989.354278        14.727459290       -22.608577416        -9.714457673        1
2023-04-22B01:58: 0.000   -130083906.441014    -71066948.583754    -30746280.788795        14.727594165       -22.608655450        -9.714510097        1
2023-04-22B01:58:30.000   -130083464.611166    -71067626.844588    -30746572.224884        14.727729051       -22.608733445        -9.714562500        1
2023-04-22B01:59: 0.000   -130083022.777271    -71068305.107760    -30746863.662545        14.727863948       -22.608811401        -9.714614880        1
2023-04-22B01:59:30.000   -130082580.939329    -71068983.373271    -30747155.101776        14.727998855       -22.608889317        -9.714667239        1
2023-04-22B02:00: 0.000   -130082139.097339    -71069661.641119    -30747446.542579        14.728133773       -22.608967194        -9.714719576        1
2023-04-22B02:00:30.000   -130081697.251302    -71070339.911303    -30747737.984951        14.728268702       -22.609045032        -9.714771891        1
2023-04-22B02:01: 0.000   -130081255.401217    -71071018.183821    -30748029.428892        14.728403642       -22.609122830        -9.714824185        1
2023-04-22B02:01:30.000   -130080813.547084    -71071696.458672    -30748320.874402        14.728538593       -22.609200588        -9.714876456        1
2023-04-22B02:02: 0.000   -130080371.688902    -71072374.735856    -30748612.321479        14.728673554       -22.609278308        -9.714928706        1
2023-04-22B02:02:30.000   -130079929.826670    -71073053.015370    -30748903.770124        14.728808526       -22.609355988        -9.714980934        1
2023-04-22B02:03: 0.000   -130079487.960390    -71073731.297214    -30749195.220335        14.728943509       -22.609433628        -9.715033140        1
2023-04-22B02:03:30.000   -130079046.090060    -71074409.581387    -30749486.672112        14.729078503       -22.609511230        -9.715085325        1
2023-04-22B02:04: 0.000   -130078604.215680    -71075087.867888    -30749778.125454        14.729213507       -22.609588792        -9.715137488        1
2023-04-22B02:04:30.000   -130078162.337249    -71075766.156714    -30750069.580361        14.729348522       -22.609666315        -9.715189629        1
2023-04-22B02:05: 0.000   -130077720.454768    -71076444.447866    -30750361.036832        14.729483548       -22.609743798        -9.715241748        1
2023-04-22B02:05:30.000   -130077278.568236    -71077122.741342    -30750652.494866        14.729618585       -22.609821243        -9.715293846        1
2023-04-22B02:06: 0.000   -130076836.677653    -71077801.037140    -30750943.954462        14.729753632       -22.609898648        -9.715345922        1
2023-04-22B02:06:30.000   -130076394.783018    -71078479.335260    -30751235.415621        14.729888690       -22.609976014        -9.715397976        1
2023-04-22B02:07: 0.000   -130075952.884331    -71079157.635701    -30751526.878341        14.730023759       -22.610053341        -9.715450009        1
2023-04-22B02:07:30.000   -130075510.981593    -71079835.938461    -30751818.342621        14.730158838       -22.610130629        -9.715502020        1
2023-04-22B02:08: 0.000   -130075069.074801    -71080514.243538    -30752109.808462        14.730293928       -22.610207878        -9.715554009        1
2023-04-22B02:08:30.000   -130074627.163957    -71081192.550933    -30752401.275861        14.730429029       -22.610285087        -9.715605977        1
