 本行信息时间(北京时间)     位置X(km,WGS84)     位置Y(km,WGS84)     位置Z(km,WGS84)  速度VX(km/s,WGS84)  速度VY(km/s,WGS84)  速度VZ(km/s,WGS84)    定轨或预报
2023-04-20B14:01: 0.000         5145.659246        12529.506614         1589.685534        -1.483093468         6.052858905         3.064323688        1
2023-04-20B14:01:30.000         5101.216144        12710.339604         1681.501898        -1.479643967         6.002878945         3.056740725        1
2023-04-20B14:02: 0.000         5056.888508        12889.691490         1773.088477        -1.475403793         5.954112732         3.049007616        1
2023-04-20B14:02:30.000         5012.699354        13067.598158         1864.441024        -1.470419209         5.906525329         3.041141246        1
2023-04-20B14:03: 0.000         4968.670358        13244.094458         1955.555776        -1.464733672         5.860082574         3.033157175        1
2023-04-20B14:03:30.000         4924.821928        13419.214227         2046.429422        -1.458388015         5.814751114         3.025069735        1
2023-04-20B14:04: 0.000         4881.173287        13592.990314         2137.059060        -1.451420612         5.770498421         3.016892133        1
2023-04-20B14:04:30.000         4837.742541        13765.454605         2227.442171        -1.443867539         5.727292808         3.008636534        1
2023-04-20B14:05: 0.000         4794.546746        13936.638047         2317.576585        -1.435762715         5.685103432         3.000314140        1
2023-04-20B14:05:30.000         4751.601970        14106.570675         2407.460456        -1.427138044         5.643900299         2.991935271        1
2023-04-20B14:06: 0.000         4708.923354        14275.281638         2497.092233        -1.418023539         5.603654260         2.983509428        1
2023-04-20B14:06:30.000         4666.525166        14442.799221         2586.470640        -1.408447445         5.564337005         2.975045357        1
2023-04-20B14:07: 0.000         4624.420850        14609.150873         2675.594653        -1.398436349         5.525921054         2.966551107        1
2023-04-20B14:07:30.000         4582.623078        14774.363232         2764.463480        -1.388015285         5.488379746         2.958034086        1
2023-04-20B14:08: 0.000         4541.143790        14938.462147         2853.076540        -1.377207830         5.451687225         2.949501106        1
2023-04-20B14:08:30.000         4499.994242        15101.472704         2941.433450        -1.366036200         5.415818421         2.940958432        1
2023-04-20B14:09: 0.000         4459.185043        15263.419248         3029.534007        -1.354521327         5.380749043         2.932411821        1
2023-04-20B14:09:30.000         4418.726190        15424.325407         3117.378174        -1.342682946         5.346455549         2.923866563        1
2023-04-20B14:10: 0.000         4378.627107        15584.214114         3204.966064        -1.330539666         5.312915138         2.915327512        1
2023-04-20B14:10:30.000         4338.896676        15743.107627         3292.297932        -1.318109040         5.280105725         2.906799126        1
2023-04-20B14:11: 0.000         4299.543265        15901.027555         3379.374160        -1.305407626         5.248005924         2.898285490        1
2023-04-20B14:11:30.000         4260.574762        16057.994874         3466.195247        -1.292451056         5.216595029         2.889790347        1
2023-04-20B14:12: 0.000         4221.998598        16214.029947         3552.761801        -1.279254084         5.185852990         2.881317125        1
2023-04-20B14:12:30.000         4183.821774        16369.152549         3639.074526        -1.265830643         5.155760401         2.872868958        1
2023-04-20B14:13: 0.000         4146.050885        16523.381880         3725.134218        -1.252193894         5.126298475         2.864448708        1
2023-04-20B14:13:30.000         4108.692141        16676.736584         3810.941754        -1.238356273         5.097449024         2.856058989        1
2023-04-20B14:14: 0.000         4071.751391        16829.234771         3896.498087        -1.224329531         5.069194446         2.847702181        1
2023-04-20B14:14:30.000         4035.234141        16980.894031         3981.804236        -1.210124780         5.041517697         2.839380449        1
2023-04-20B14:15: 0.000         3999.145571        17131.731448         4066.861285        -1.195752524         5.014402284         2.831095760        1
2023-04-20B14:15:30.000         3963.490557        17281.763623         4151.670371        -1.181222701         4.987832237         2.822849897        1
2023-04-20B14:16: 0.000         3928.273683        17431.006683         4236.232683        -1.166544713         4.961792097         2.814644471        1
2023-04-20B14:16:30.000         3893.499258        17579.476300         4320.549458        -1.151727456         4.936266896         2.806480937        1
2023-04-20B14:17: 0.000         3859.171335        17727.187703         4404.621972        -1.136779351         4.911242145         2.798360603        1
2023-04-20B14:17:30.000         3825.293717        17874.155694         4488.451539        -1.121708372         4.886703811         2.790284642        1
2023-04-20B14:18: 0.000         3791.869977        18020.394662         4572.039505        -1.106522070         4.862638306         2.782254102        1
2023-04-20B14:18:30.000         3758.903466        18165.918591         4655.387249        -1.091227598         4.839032473         2.774269913        1
2023-04-20B14:19: 0.000         3726.397327        18310.741081         4738.496172        -1.075831731         4.815873564         2.766332901        1
2023-04-20B14:19:30.000         3694.354503        18454.875352         4821.367702        -1.060340893         4.793149236         2.758443789        1
2023-04-20B14:20: 0.000         3662.777753        18598.334263         4904.003285        -1.044761170         4.770847529         2.750603212        1
