 本行信息时间(北京时间)     位置X(km,WGS84)     位置Y(km,WGS84)     位置Z(km,WGS84)  速度VX(km/s,WGS84)  速度VY(km/s,WGS84)  速度VZ(km/s,WGS84)    定轨或预报
2023-04-20B17:17: 0.000        19840.909611        50652.892856        26240.674505         3.599360065         1.492926686         1.594480001        1
2023-04-20B17:17:30.000        19949.019565        50697.524313        26288.487559         3.607966168         1.482499962         1.593057800        1
2023-04-20B17:18: 0.000        20057.387264        50741.842665        26336.258007         3.616543038         1.472053071         1.591639619        1
2023-04-20B17:18:30.000        20166.011830        50785.847309        26383.985970         3.625090633         1.461586042         1.590225439        1
2023-04-20B17:19: 0.000        20274.892384        50829.537640        26431.671567         3.633608911         1.451098903         1.588815239        1
2023-04-20B17:19:30.000        20384.028046        50872.913055        26479.314918         3.642097830         1.440591682         1.587408999        1
2023-04-20B17:20: 0.000        20493.417934        50915.972953        26526.916140         3.650557349         1.430064410         1.586006701        1
2023-04-20B17:20:30.000        20603.061167        50958.716733        26574.475353         3.658987425         1.419517117         1.584608325        1
2023-04-20B17:21: 0.000        20712.956860        51001.143794        26621.992673         3.667388016         1.408949832         1.583213852        1
2023-04-20B17:21:30.000        20823.104127        51043.253537        26669.468217         3.675759081         1.398362586         1.581823262        1
2023-04-20B17:22: 0.000        20933.502084        51085.045363        26716.902101         3.684100578         1.387755412         1.580436536        1
2023-04-20B17:22:30.000        21044.149841        51126.518676        26764.294441         3.692412464         1.377128341         1.579053656        1
2023-04-20B17:23: 0.000        21155.046510        51167.672879        26811.645352         3.700694698         1.366481404         1.577674603        1
2023-04-20B17:23:30.000        21266.191201        51208.507376        26858.954949         3.708947237         1.355814635         1.576299357        1
2023-04-20B17:24: 0.000        21377.583021        51249.021573        26906.223345         3.717170040         1.345128067         1.574927901        1
2023-04-20B17:24:30.000        21489.221080        51289.214876        26953.450654         3.725363064         1.334421733         1.573560217        1
2023-04-20B17:25: 0.000        21601.104482        51329.086693        27000.636989         3.733526269         1.323695667         1.572196285        1
2023-04-20B17:25:30.000        21713.232332        51368.636433        27047.782463         3.741659611         1.312949905         1.570836089        1
2023-04-20B17:26: 0.000        21825.603734        51407.863505        27094.887186         3.749763048         1.302184479         1.569479609        1
2023-04-20B17:26:30.000        21938.217790        51446.767320        27141.951270         3.757836540         1.291399427         1.568126828        1
2023-04-20B17:27: 0.000        22051.073601        51485.347289        27188.974826         3.765880043         1.280594783         1.566777729        1
2023-04-20B17:27:30.000        22164.170267        51523.602825        27235.957964         3.773893516         1.269770584         1.565432293        1
2023-04-20B17:28: 0.000        22277.506886        51561.533343        27282.900793         3.781876916         1.258926867         1.564090503        1
2023-04-20B17:28:30.000        22391.082556        51599.138257        27329.803424         3.789830203         1.248063667         1.562752341        1
2023-04-20B17:29: 0.000        22504.896371        51636.416983        27376.665963         3.797753334         1.237181023         1.561417792        1
2023-04-20B17:29:30.000        22618.947428        51673.368939        27423.488521         3.805646267         1.226278973         1.560086836        1
2023-04-20B17:30: 0.000        22733.234820        51709.993542        27470.271203         3.813508960         1.215357554         1.558759457        1
2023-04-20B17:30:30.000        22847.757638        51746.290213        27517.014117         3.821341371         1.204416805         1.557435639        1
2023-04-20B17:31: 0.000        22962.514973        51782.258372        27563.717370         3.829143458         1.193456765         1.556115364        1
2023-04-20B17:31:30.000        23077.505916        51817.897441        27610.381068         3.836915181         1.182477473         1.554798616        1
2023-04-20B17:32: 0.000        23192.729555        51853.206843        27657.005316         3.844656496         1.171478970         1.553485378        1
2023-04-20B17:32:30.000        23308.184976        51888.186003        27703.590219         3.852367361         1.160461295         1.552175633        1
2023-04-20B17:33: 0.000        23423.871266        51922.834345        27750.135882         3.860047736         1.149424489         1.550869366        1
2023-04-20B17:33:30.000        23539.787509        51957.151296        27796.642409         3.867697579         1.138368592         1.549566559        1
2023-04-20B17:34: 0.000        23655.932790        51991.136285        27843.109903         3.875316847         1.127293647         1.548267198        1
2023-04-20B17:34:30.000        23772.306189        52024.788740        27889.538468         3.882905499         1.116199695         1.546971265        1
2023-04-20B17:35: 0.000        23888.906787        52058.108092        27935.928206         3.890463493         1.105086777         1.545678745        1
2023-04-20B17:35:30.000        24005.733666        52091.093773        27982.279220         3.897990788         1.093954937         1.544389621        1
2023-04-20B17:36: 0.000        24122.785902        52123.745215        28028.591611         3.905487342         1.082804217         1.543103879        1
2023-04-20B17:36:30.000        24240.062573        52156.061853        28074.865480         3.912953114         1.071634660         1.541821503        1
2023-04-20B17:37: 0.000        24357.562755        52188.043122        28121.100928         3.920388061         1.060446309         1.540542476        1
2023-04-20B17:37:30.000        24475.285522        52219.688459        28167.298055         3.927792143         1.049239210         1.539266784        1
2023-04-20B17:38: 0.000        24593.229949        52250.997303        28213.456961         3.935165318         1.038013405         1.537994412        1
2023-04-20B17:38:30.000        24711.395106        52281.969093        28259.577746         3.942507544         1.026768940         1.536725343        1
2023-04-20B17:39: 0.000        24829.780066        52312.603269        28305.660508         3.949818780         1.015505859         1.535459563        1
2023-04-20B17:39:30.000        24948.383897        52342.899274        28351.705346         3.957098985         1.004224208         1.534197057        1
2023-04-20B17:40: 0.000        25067.205669        52372.856552        28397.712357         3.964348118         0.992924032         1.532937809        1
2023-04-20B17:40:30.000        25186.244448        52402.474548        28443.681640         3.971566136         0.981605379         1.531681806        1
2023-04-20B17:41: 0.000        25305.499300        52431.752707        28489.613291         3.978753000         0.970268292         1.530429032        1
2023-04-20B17:41:30.000        25424.969290        52460.690477        28535.507407         3.985908667         0.958912821         1.529179473        1
2023-04-20B17:42: 0.000        25544.653482        52489.287309        28581.364084         3.993033097         0.947539011         1.527933113        1
2023-04-20B17:42:30.000        25664.550938        52517.542651        28627.183419         4.000126249         0.936146910         1.526689939        1
2023-04-20B17:43: 0.000        25784.660718        52545.455957        28672.965505         4.007188081         0.924736566         1.525449937        1
2023-04-20B17:43:30.000        25904.981883        52573.026680        28718.710440         4.014218552         0.913308026         1.524213091        1
2023-04-20B17:44: 0.000        26025.513492        52600.254274        28764.418315         4.021217622         0.901861340         1.522979388        1
2023-04-20B17:44:30.000        26146.254601        52627.138196        28810.089227         4.028185250         0.890396556         1.521748813        1
2023-04-20B17:45: 0.000        26267.204266        52653.677903        28855.723268         4.035121395         0.878913722         1.520521354        1
2023-04-20B17:45:30.000        26388.361543        52679.872856        28901.320532         4.042026016         0.867412889         1.519296994        1
2023-04-20B17:46: 0.000        26509.725486        52705.722514        28946.881112         4.048899072         0.855894106         1.518075722        1
2023-04-20B17:46:30.000        26631.295146        52731.226340        28992.405099         4.055740523         0.844357423         1.516857523        1
2023-04-20B17:47: 0.000        26753.069575        52756.383797        29037.892587         4.062550328         0.832802890         1.515642383        1
2023-04-20B17:47:30.000        26875.047823        52781.194352        29083.343666         4.069328447         0.821230558         1.514430289        1
2023-04-20B17:48: 0.000        26997.228939        52805.657470        29128.758427         4.076074839         0.809640479         1.513221227        1
2023-04-20B17:48:30.000        27119.611970        52829.772621        29174.136962         4.082789463         0.798032702         1.512015185        1
2023-04-20B17:49: 0.000        27242.195963        52853.539273        29219.479361         4.089472280         0.786407280         1.510812147        1
2023-04-20B17:49:30.000        27364.979963        52876.956899        29264.785714         4.096123249         0.774764265         1.509612103        1
2023-04-20B17:50: 0.000        27487.963014        52900.024971        29310.056110         4.102742330         0.763103709         1.508415037        1
2023-04-20B17:50:30.000        27611.144158        52922.742964        29355.290639         4.109329483         0.751425664         1.507220938        1
2023-04-20B17:51: 0.000        27734.522437        52945.110354        29400.489389         4.115884668         0.739730184         1.506029791        1
2023-04-20B17:51:30.000        27858.096892        52967.126618        29445.652448         4.122407844         0.728017320         1.504841585        1
2023-04-20B17:52: 0.000        27981.866562        52988.791237        29490.779906         4.128898971         0.716287128         1.503656307        1
2023-04-20B17:52:30.000        28105.830484        53010.103691        29535.871849         4.135358011         0.704539660         1.502473943        1
2023-04-20B17:53: 0.000        28229.987695        53031.063462        29580.928364         4.141784922         0.692774970         1.501294481        1
2023-04-20B17:53:30.000        28354.337232        53051.670035        29625.949539         4.148179666         0.680993113         1.500117908        1
2023-04-20B17:54: 0.000        28478.878128        53071.922896        29670.935460         4.154542203         0.669194144         1.498944212        1
2023-04-20B17:54:30.000        28603.609416        53091.821531        29715.886213         4.160872492         0.657378117         1.497773381        1
2023-04-20B17:55: 0.000        28728.530129        53111.365431        29760.801884         4.167170495         0.645545087         1.496605401        1
2023-04-20B17:55:30.000        28853.639297        53130.554085        29805.682558         4.173436173         0.633695109         1.495440261        1
2023-04-20B17:56: 0.000        28978.935950        53149.386986        29850.528321         4.179669485         0.621828241         1.494277949        1
2023-04-20B17:56:30.000        29104.419116        53167.863629        29895.339256         4.185870392         0.609944536         1.493118452        1
2023-04-20B17:57: 0.000        29230.087823        53185.983509        29940.115449         4.192038856         0.598044053         1.491961759        1
2023-04-20B17:57:30.000        29355.941097        53203.746123        29984.856982         4.198174837         0.586126847         1.490807856        1
2023-04-20B17:58: 0.000        29481.977962        53221.150971        30029.563940         4.204278297         0.574192975         1.489656734        1
2023-04-20B17:58:30.000        29608.197443        53238.197554        30074.236406         4.210349196         0.562242495         1.488508378        1
2023-04-20B17:59: 0.000        29734.598562        53254.885374        30118.874463         4.216387495         0.550275463         1.487362779        1
2023-04-20B17:59:30.000        29861.180341        53271.213936        30163.478193         4.222393156         0.538291937         1.486219923        1
2023-04-20B18:00: 0.000        29987.941799        53287.182745        30208.047678         4.228366139         0.526291976         1.485079800        1
2023-04-20B18:00:30.000        30114.881957        53302.791309        30252.583001         4.234306408         0.514275638         1.483942397        1
2023-04-20B18:01: 0.000        30241.999831        53318.039138        30297.084242         4.240213922         0.502242980         1.482807704        1
2023-04-20B18:01:30.000        30369.294438        53332.925744        30341.551483         4.246088643         0.490194063         1.481675709        1
2023-04-20B18:02: 0.000        30496.764795        53347.450639        30385.984804         4.251930534         0.478128943         1.480546400        1
2023-04-20B18:02:30.000        30624.409916        53361.613338        30430.384286         4.257739556         0.466047682         1.479419767        1
2023-04-20B18:03: 0.000        30752.228814        53375.413358        30474.750009         4.263515671         0.453950339         1.478295798        1
2023-04-20B18:03:30.000        30880.220501        53388.850217        30519.082053         4.269258840         0.441836972         1.477174481        1
2023-04-20B18:04: 0.000        31008.383989        53401.923436        30563.380496         4.274969026         0.429707643         1.476055806        1
2023-04-20B18:04:30.000        31136.718287        53414.632536        30607.645420         4.280646191         0.417562412         1.474939762        1
2023-04-20B18:05: 0.000        31265.222404        53426.977042        30651.876901         4.286290298         0.405401339         1.473826338        1
2023-04-20B18:05:30.000        31393.895348        53438.956478        30696.075018         4.291901308         0.393224484         1.472715522        1
2023-04-20B18:06: 0.000        31522.736125        53450.570373        30740.239850         4.297479183         0.381031910         1.471607305        1
2023-04-20B18:06:30.000        31651.743742        53461.818256        30784.371475         4.303023888         0.368823676         1.470501674        1
2023-04-20B18:07: 0.000        31780.917201        53472.699657        30828.469969         4.308535383         0.356599846         1.469398621        1
2023-04-20B18:07:30.000        31910.255507        53483.214111        30872.535410         4.314013633         0.344360480         1.468298133        1
2023-04-20B18:08: 0.000        32039.757660        53493.361151        30916.567875         4.319458599         0.332105641         1.467200201        1
2023-04-20B18:08:30.000        32169.422664        53503.140315        30960.567440         4.324870245         0.319835390         1.466104813        1
2023-04-20B18:09: 0.000        32299.249516        53512.551141        31004.534181         4.330248534         0.307549791         1.465011960        1
2023-04-20B18:09:30.000        32429.237216        53521.593170        31048.468175         4.335593428         0.295248907         1.463921630        1
2023-04-20B18:10: 0.000        32559.384762        53530.265943        31092.369496         4.340904892         0.282932799         1.462833814        1
2023-04-20B18:10:30.000        32689.691149        53538.569006        31136.238221         4.346182888         0.270601531         1.461748502        1
2023-04-20B18:11: 0.000        32820.155374        53546.501904        31180.074423         4.351427381         0.258255168         1.460665682        1
2023-04-20B18:11:30.000        32950.776431        53554.064186        31223.878179         4.356638332         0.245893772         1.459585346        1
2023-04-20B18:12: 0.000        33081.553313        53561.255401        31267.649561         4.361815707         0.233517407         1.458507482        1
2023-04-20B18:12:30.000        33212.485012        53568.075102        31311.388644         4.366959469         0.221126138         1.457432081        1
2023-04-20B18:13: 0.000        33343.570519        53574.522842        31355.095502         4.372069582         0.208720029         1.456359133        1
2023-04-20B18:13:30.000        33474.808825        53580.598176        31398.770209         4.377146010         0.196299145         1.455288628        1
2023-04-20B18:14: 0.000        33606.198917        53586.300664        31442.412837         4.382188717         0.183863550         1.454220556        1
2023-04-20B18:14:30.000        33737.739784        53591.629864        31486.023458         4.387197668         0.171413310         1.453154907        1
2023-04-20B18:15: 0.000        33869.430414        53596.585337        31529.602147         4.392172826         0.158948490         1.452091672        1
2023-04-20B18:15:30.000        34001.269790        53601.166649        31573.148975         4.397114156         0.146469155         1.451030840        1
2023-04-20B18:16: 0.000        34133.256899        53605.373363        31616.664014         4.402021623         0.133975371         1.449972402        1
2023-04-20B18:16:30.000        34265.390723        53609.205048        31660.147335         4.406895191         0.121467204         1.448916349        1
2023-04-20B18:17: 0.000        34397.670245        53612.661273        31703.599010         4.411734826         0.108944721         1.447862671        1
2023-04-20B18:17:30.000        34530.094447        53615.741610        31747.019111         4.416540492         0.096407987         1.446811358        1
2023-04-20B18:18: 0.000        34662.662309        53618.445632        31790.407707         4.421312154         0.083857069         1.445762402        1
2023-04-20B18:18:30.000        34795.372811        53620.772914        31833.764870         4.426049778         0.071292035         1.444715792        1
2023-04-20B18:19: 0.000        34928.224930        53622.723035        31877.090670         4.430753328         0.058712951         1.443671519        1
2023-04-20B18:19:30.000        35061.217644        53624.295573        31920.385176         4.435422771         0.046119884         1.442629574        1
2023-04-20B18:20: 0.000        35194.349929        53625.490110        31963.648459         4.440058071         0.033512903         1.441589948        1
2023-04-20B18:20:30.000        35327.620761        53626.306230        32006.880588         4.444659195         0.020892074         1.440552632        1
2023-04-20B18:21: 0.000        35461.029113        53626.743518        32050.081632         4.449226108         0.008257465         1.439517617        1
2023-04-20B18:21:30.000        35594.573960        53626.801563        32093.251660         4.453758776        -0.004390855         1.438484893        1
2023-04-20B18:22: 0.000        35728.254272        53626.479952        32136.390740         4.458257165        -0.017052818         1.437454451        1
2023-04-20B18:22:30.000        35862.069021        53625.778280        32179.498942         4.462721241        -0.029728356         1.436426283        1
2023-04-20B18:23: 0.000        35996.017177        53624.696138        32222.576332         4.467150971        -0.042417399         1.435400380        1
2023-04-20B18:23:30.000        36130.097710        53623.233123        32265.622979         4.471546320        -0.055119879         1.434376733        1
2023-04-20B18:24: 0.000        36264.309587        53621.388834        32308.638950         4.475907257        -0.067835728         1.433355332        1
2023-04-20B18:24:30.000        36398.651776        53619.162869        32351.624313         4.480233746        -0.080564874         1.432336169        1
2023-04-20B18:25: 0.000        36533.123242        53616.554831        32394.579134         4.484525755        -0.093307250         1.431319236        1
2023-04-20B18:25:30.000        36667.722950        53613.564324        32437.503481         4.488783252        -0.106062784         1.430304524        1
2023-04-20B18:26: 0.000        36802.449866        53610.190955        32480.397419         4.493006202        -0.118831409         1.429292024        1
2023-04-20B18:26:30.000        36937.302952        53606.434332        32523.261016         4.497194573        -0.131613052         1.428281727        1
2023-04-20B18:27: 0.000        37072.281169        53602.294065        32566.094337         4.501348333        -0.144407644         1.427273626        1
2023-04-20B18:27:30.000        37207.383480        53597.769767        32608.897447         4.505467449        -0.157215114         1.426267711        1
2023-04-20B18:28: 0.000        37342.608844        53592.861053        32651.670413         4.509551888        -0.170035393         1.425263974        1
2023-04-20B18:28:30.000        37477.956221        53587.567539        32694.413299         4.513601619        -0.182868408         1.424262407        1
2023-04-20B18:29: 0.000        37613.424568        53581.888845        32737.126170         4.517616609        -0.195714088         1.423263002        1
2023-04-20B18:29:30.000        37749.012844        53575.824591        32779.809092         4.521596825        -0.208572363         1.422265749        1
2023-04-20B18:30: 0.000        37884.720005        53569.374401        32822.462128         4.525542237        -0.221443161         1.421270641        1
2023-04-20B18:30:30.000        38020.545005        53562.537900        32865.085343         4.529452813        -0.234326411         1.420277670        1
2023-04-20B18:31: 0.000        38156.486800        53555.314715        32907.678801         4.533328520        -0.247222040         1.419286828        1
2023-04-20B18:31:30.000        38292.544342        53547.704477        32950.242566         4.537169328        -0.260129976         1.418298106        1
2023-04-20B18:32: 0.000        38428.716585        53539.706817        32992.776700         4.540975205        -0.273050148         1.417311496        1
2023-04-20B18:32:30.000        38565.002480        53531.321370        33035.281268         4.544746120        -0.285982483         1.416326991        1
2023-04-20B18:33: 0.000        38701.400977        53522.547771        33077.756332         4.548482042        -0.298926908         1.415344581        1
2023-04-20B18:33:30.000        38837.911027        53513.385659        33120.201955         4.552182941        -0.311883351         1.414364260        1
2023-04-20B18:34: 0.000        38974.531578        53503.834674        33162.618200         4.555848784        -0.324851738         1.413386020        1
2023-04-20B18:34:30.000        39111.261578        53493.894459        33205.005129         4.559479542        -0.337831997         1.412409852        1
2023-04-20B18:35: 0.000        39248.099974        53483.564660        33247.362803         4.563075184        -0.350824055         1.411435749        1
2023-04-20B18:35:30.000        39385.045712        53472.844923        33289.691286         4.566635680        -0.363827837         1.410463703        1
2023-04-20B18:36: 0.000        39522.097738        53461.734897        33331.990637         4.570161000        -0.376843271         1.409493706        1
2023-04-20B18:36:30.000        39659.254995        53450.234234        33374.260920         4.573651114        -0.389870282         1.408525751        1
2023-04-20B18:37: 0.000        39796.516428        53438.342589        33416.502194         4.577105991        -0.402908797         1.407559829        1
2023-04-20B18:37:30.000        39933.880977        53426.059616        33458.714521         4.580525602        -0.415958741         1.406595934        1
2023-04-20B18:38: 0.000        40071.347586        53413.384975        33500.897961         4.583909918        -0.429020040         1.405634058        1
2023-04-20B18:38:30.000        40208.915194        53400.318325        33543.052576         4.587258909        -0.442092619         1.404674193        1
2023-04-20B18:39: 0.000        40346.582742        53386.859330        33585.178424         4.590572546        -0.455176405         1.403716331        1
2023-04-20B18:39:30.000        40484.349168        53373.007654        33627.275567         4.593850799        -0.468271321         1.402760466        1
2023-04-20B18:40: 0.000        40622.213411        53358.762965        33669.344063         4.597093639        -0.481377294         1.401806590        1
2023-04-20B18:40:30.000        40760.174407        53344.124931        33711.383973         4.600301039        -0.494494248         1.400854695        1
2023-04-20B18:41: 0.000        40898.231094        53329.093225        33753.395356         4.603472968        -0.507622107         1.399904774        1
2023-04-20B18:41:30.000        41036.382406        53313.667521        33795.378271         4.606609399        -0.520760796         1.398956820        1
2023-04-20B18:42: 0.000        41174.627277        53297.847495        33837.332776         4.609710303        -0.533910240         1.398010826        1
2023-04-20B18:42:30.000        41312.964643        53281.632825        33879.258931         4.612775652        -0.547070363         1.397066784        1
2023-04-20B18:43: 0.000        41451.393436        53265.023192        33921.156794         4.615805417        -0.560241089         1.396124687        1
2023-04-20B18:43:30.000        41589.912588        53248.018279        33963.026423         4.618799572        -0.573422341         1.395184529        1
2023-04-20B18:44: 0.000        41728.521029        53230.617772        34004.867876         4.621758087        -0.586614043         1.394246301        1
2023-04-20B18:44:30.000        41867.217691        53212.821358        34046.681211         4.624680936        -0.599816119         1.393309997        1
2023-04-20B18:45: 0.000        42006.001504        53194.628727        34088.466486         4.627568091        -0.613028493         1.392375610        1
2023-04-20B18:45:30.000        42144.871395        53176.039571        34130.223758         4.630419524        -0.626251087         1.391443133        1
2023-04-20B18:46: 0.000        42283.826293        53157.053585        34171.953084         4.633235208        -0.639483825         1.390512559        1
2023-04-20B18:46:30.000        42422.865125        53137.670466        34213.654521         4.636015118        -0.652726629         1.389583880        1
2023-04-20B18:47: 0.000        42561.986817        53117.889913        34255.328127         4.638759224        -0.665979423         1.388657091        1
2023-04-20B18:47:30.000        42701.190296        53097.711627        34296.973957         4.641467502        -0.679242128         1.387732184        1
2023-04-20B18:48: 0.000        42840.474484        53077.135313        34338.592067         4.644139924        -0.692514668         1.386809153        1
2023-04-20B18:48:30.000        42979.838308        53056.160675        34380.182515         4.646776464        -0.705796965         1.385887990        1
2023-04-20B18:49: 0.000        43119.280689        53034.787424        34421.745356         4.649377096        -0.719088941         1.384968689        1
2023-04-20B18:49:30.000        43258.800550        53013.015269        34463.280646         4.651941793        -0.732390518         1.384051243        1
2023-04-20B18:50: 0.000        43398.396812        52990.843923        34504.788440         4.654470530        -0.745701618         1.383135646        1
2023-04-20B18:50:30.000        43538.068397        52968.273103        34546.268794         4.656963282        -0.759022162         1.382221890        1
2023-04-20B18:51: 0.000        43677.814225        52945.302526        34587.721763         4.659420022        -0.772352073         1.381309970        1
2023-04-20B18:51:30.000        43817.633214        52921.931912        34629.147402         4.661840725        -0.785691271         1.380399878        1
2023-04-20B18:52: 0.000        43957.524283        52898.160984        34670.545765         4.664225366        -0.799039678         1.379491609        1
2023-04-20B18:52:30.000        44097.486351        52873.989466        34711.916907         4.666573920        -0.812397216         1.378585155        1
2023-04-20B18:53: 0.000        44237.518333        52849.417086        34753.260883         4.668886362        -0.825763804         1.377680510        1
2023-04-20B18:53:30.000        44377.619147        52824.443575        34794.577746         4.671162667        -0.839139365         1.376777668        1
2023-04-20B18:54: 0.000        44517.787707        52799.068662        34835.867552         4.673402811        -0.852523818         1.375876622        1
2023-04-20B18:54:30.000        44658.022929        52773.292084        34877.130352         4.675606769        -0.865917085         1.374977366        1
2023-04-20B18:55: 0.000        44798.323727        52747.113576        34918.366202         4.677774517        -0.879319086         1.374079894        1
2023-04-20B18:55:30.000        44938.689014        52720.532879        34959.575155         4.679906030        -0.892729740         1.373184199        1
2023-04-20B18:56: 0.000        45079.117702        52693.549733        35000.757263         4.682001286        -0.906148970         1.372290275        1
2023-04-20B18:56:30.000        45219.608704        52666.163883        35041.912579         4.684060259        -0.919576693         1.371398115        1
2023-04-20B18:57: 0.000        45360.160930        52638.375074        35083.041158         4.686082928        -0.933012831         1.370507714        1
2023-04-20B18:57:30.000        45500.773292        52610.183056        35124.143051         4.688069267        -0.946457303         1.369619066        1
2023-04-20B18:58: 0.000        45641.444699        52581.587580        35165.218310         4.690019255        -0.959910029         1.368732163        1
2023-04-20B18:58:30.000        45782.174060        52552.588400        35206.266988         4.691932867        -0.973370928         1.367847001        1
2023-04-20B18:59: 0.000        45922.960283        52523.185271        35247.289138         4.693810082        -0.986839920         1.366963572        1
2023-04-20B18:59:30.000        46063.802276        52493.377952        35288.284811         4.695650875        -1.000316924         1.366081872        1
2023-04-20B19:00: 0.000        46204.698947        52463.166204        35329.254058         4.697455225        -1.013801859         1.365201893        1
2023-04-20B19:00:30.000        46345.649201        52432.549789        35370.196932         4.699223110        -1.027294643         1.364323630        1
2023-04-20B19:01: 0.000        46486.651945        52401.528475        35411.113483         4.700954507        -1.040795197         1.363447076        1
2023-04-20B19:01:30.000        46627.706083        52370.102028        35452.003764         4.702649393        -1.054303439         1.362572227        1
2023-04-20B19:02: 0.000        46768.810519        52338.270220        35492.867825         4.704307748        -1.067819287         1.361699076        1
2023-04-20B19:02:30.000        46909.964158        52306.032823        35533.705716         4.705929549        -1.081342659         1.360827616        1
2023-04-20B19:03: 0.000        47051.165903        52273.389614        35574.517489         4.707514776        -1.094873475         1.359957843        1
2023-04-20B19:03:30.000        47192.414655        52240.340369        35615.303194         4.709063405        -1.108411652         1.359089750        1
2023-04-20B19:04: 0.000        47333.709317        52206.884870        35656.062881         4.710575418        -1.121957109         1.358223332        1
2023-04-20B19:04:30.000        47475.048790        52173.022899        35696.796601         4.712050791        -1.135509763         1.357358583        1
2023-04-20B19:05: 0.000        47616.431974        52138.754241        35737.504403         4.713489505        -1.149069533         1.356495497        1
2023-04-20B19:05:30.000        47757.857770        52104.078684        35778.186338         4.714891539        -1.162636336         1.355634068        1
2023-04-20B19:06: 0.000        47899.325076        52068.996019        35818.842454         4.716256873        -1.176210090         1.354774291        1
2023-04-20B19:06:30.000        48040.832791        52033.506039        35859.472802         4.717585486        -1.189790712         1.353916160        1
2023-04-20B19:07: 0.000        48182.379814        51997.608537        35900.077431         4.718877358        -1.203378120         1.353059669        1
2023-04-20B19:07:30.000        48323.965042        51961.303313        35940.656389         4.720132469        -1.216972231         1.352204813        1
2023-04-20B19:08: 0.000        48465.587371        51924.590166        35981.209726         4.721350799        -1.230572962         1.351351586        1
2023-04-20B19:08:30.000        48607.245698        51887.468898        36021.737491         4.722532329        -1.244180230         1.350499983        1
2023-04-20B19:09: 0.000        48748.938919        51849.939316        36062.239732         4.723677040        -1.257793953         1.349649998        1
2023-04-20B19:09:30.000        48890.665929        51812.001226        36102.716497         4.724784911        -1.271414047         1.348801625        1
2023-04-20B19:10: 0.000        49032.425622        51773.654439        36143.167835         4.725855925        -1.285040428         1.347954860        1
2023-04-20B19:10:30.000        49174.216892        51734.898767        36183.593795         4.726890062        -1.298673014         1.347109696        1
2023-04-20B19:11: 0.000        49316.038633        51695.734026        36223.994423         4.727887303        -1.312311721         1.346266129        1
2023-04-20B19:11:30.000        49457.889738        51656.160033        36264.369769         4.728847631        -1.325956465         1.345424153        1
2023-04-20B19:12: 0.000        49599.769099        51616.176608        36304.719879         4.729771026        -1.339607162         1.344583762        1
2023-04-20B19:12:30.000        49741.675607        51575.783574        36345.044801         4.730657471        -1.353263729         1.343744951        1
2023-04-20B19:13: 0.000        49883.608154        51534.980755        36385.344582         4.731506948        -1.366926082         1.342907715        1
2023-04-20B19:13:30.000        50025.565631        51493.767981        36425.619269         4.732319439        -1.380594137         1.342072049        1
2023-04-20B19:14: 0.000        50167.546927        51452.145080        36465.868910         4.733094926        -1.394267809         1.341237947        1
2023-04-20B19:14:30.000        50309.550933        51410.111887        36506.093552         4.733833391        -1.407947015         1.340405404        1
2023-04-20B19:15: 0.000        50451.576537        51367.668235        36546.293240         4.734534819        -1.421631669         1.339574415        1
2023-04-20B19:15:30.000        50593.622629        51324.813962        36586.468022         4.735199191        -1.435321688         1.338744975        1
2023-04-20B19:16: 0.000        50735.688095        51281.548910        36626.617944         4.735826491        -1.449016987         1.337917078        1
2023-04-20B19:16:30.000        50877.771824        51237.872921        36666.743052         4.736416702        -1.462717481         1.337090719        1
2023-04-20B19:17: 0.000        51019.872703        51193.785840        36706.843393         4.736969808        -1.476423085         1.336265894        1
2023-04-20B19:17:30.000        51161.989619        51149.287515        36746.919011         4.737485792        -1.490133715         1.335442597        1
2023-04-20B19:18: 0.000        51304.121457        51104.377798        36786.969954         4.737964639        -1.503849286         1.334620823        1
2023-04-20B19:18:30.000        51446.267103        51059.056540        36826.996266         4.738406331        -1.517569712         1.333800567        1
2023-04-20B19:19: 0.000        51588.425442        51013.323597        36866.997993         4.738810855        -1.531294908         1.332981824        1
2023-04-20B19:19:30.000        51730.595360        50967.178829        36906.975180         4.739178193        -1.545024790         1.332164589        1
2023-04-20B19:20: 0.000        51872.775739        50920.622094        36946.927873         4.739508332        -1.558759271         1.331348857        1
2023-04-20B19:20:30.000        52014.965465        50873.653258        36986.856117         4.739801255        -1.572498266         1.330534623        1
2023-04-20B19:21: 0.000        52157.163419        50826.272184        37026.759956         4.740056947        -1.586241690         1.329721882        1
2023-04-20B19:21:30.000        52299.368486        50778.478743        37066.639435         4.740275394        -1.599989457         1.328910630        1
2023-04-20B19:22: 0.000        52441.579548        50730.272805        37106.494598         4.740456582        -1.613741481         1.328100861        1
2023-04-20B19:22:30.000        52583.795486        50681.654243        37146.325491         4.740600495        -1.627497677         1.327292570        1
2023-04-20B19:23: 0.000        52726.015182        50632.622934        37186.132157         4.740707120        -1.641257958         1.326485754        1
2023-04-20B19:23:30.000        52868.237518        50583.178757        37225.914641         4.740776442        -1.655022239         1.325680406        1
2023-04-20B19:24: 0.000        53010.461373        50533.321592        37265.672986         4.740808448        -1.668790432         1.324876522        1
2023-04-20B19:24:30.000        53152.685629        50483.051323        37305.407236         4.740803124        -1.682562453         1.324074097        1
2023-04-20B19:25: 0.000        53294.909165        50432.367838        37345.117436         4.740760457        -1.696338215         1.323273128        1
